policy_id,policy_label,policy_description,anchor_poi_id,anchor_name,basis_week_start,basis_label,basis_level,anchor_crowd_signal,anchor_crowd_level,recommendation_count,top_alternative_poi_id,top_alternative_name,top3_alternative_poi_ids,top_alternative_score,top_crowd_relief,top_similarity,top_practicality,top_distance_to_anchor_km
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_W23236783,Galata Tower,2026-05-03,Latest modeled week (2026-05-03),High,0.7251877662989323,High,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W280961352""]",0.6909210656627708,0.3328,0.875,0.8036,0.737
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_W23236783,Galata Tower,2026-03-08,Recent low week (2026-03-08),Low,0.45341855061686437,Medium,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W280961352""]",0.701470634530935,0.3561,0.875,0.8036,0.737
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_W23236783,Galata Tower,2026-03-08,Recent low week (2026-03-08),Low,0.45341855061686437,Medium,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W263949143""]",0.5529326102431591,0.3561,0.875,0.8036,0.737
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_W23236783,Galata Tower,2026-03-08,Recent low week (2026-03-08),Low,0.45341855061686437,Medium,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W263949143""]",0.6272016223870471,0.3561,0.875,0.8036,0.737
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_W23236783,Galata Tower,2026-03-08,Recent low week (2026-03-08),Low,0.45341855061686437,Medium,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W280961352""]",0.6979004429336081,0.3561,0.875,0.8036,0.737
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_W23236783,Galata Tower,2026-04-19,Recent medium week (2026-04-19),Medium,0.5595650365554677,Medium,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W263949143""]",0.6219023872251636,0.3443,0.875,0.8036,0.737
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_W23236783,Galata Tower,2026-04-19,Recent medium week (2026-04-19),Medium,0.5595650365554677,Medium,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W263949143""]",0.5458669633606477,0.3443,0.875,0.8036,0.737
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_W23236783,Galata Tower,2026-04-19,Recent medium week (2026-04-19),Medium,0.5595650365554677,Medium,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W263949143""]",0.6219023872251636,0.3443,0.875,0.8036,0.737
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_W23236783,Galata Tower,2026-04-19,Recent medium week (2026-04-19),Medium,0.5595650365554677,Medium,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W280961352""]",0.6943676194923524,0.3443,0.875,0.8036,0.737
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_N7215645385,The Blue Mosque,2026-05-03,Latest modeled week (2026-05-03),High,0.6648400175454006,Medium,5,otm_R4567928,Sokullu Mehmed Pasa Mosque,"[""otm_R4567928"", ""otm_R12342892"", ""otm_W132277802""]",0.6744327327280952,0.4211,0.875,0.8934,0.4
