date,poi_id,display_name_en,category_clean,query_area,lat,lon,crowdindex_poi,crowd_pressure_100,city_demand_score,poi_weight_value
2026-05-03,otm_N4945509321,Vefa,historic,Fatih / Valens Aqueduct,41.01688766479492,28.959970474243164,0.0021992126054327,58.46,0.6084517240524292,0.0036144405850072
2026-05-03,otm_N5244812070,Dostlar Tiyatrosu,attraction,Suleymaniye,41.01897811889648,28.96481704711914,0.0021913990070023,58.25,0.6084517240524292,0.0036015988128148
2026-05-03,otm_Q85817590,Tomb of Mehmed the Conqueror,historic,Fatih / Valens Aqueduct,41.01926040649414,28.950305938720703,0.0021902197247678,58.22,0.6084517240524292,0.0035996606438724
2026-05-03,otm_W338274455,Bahariye Mevlevihanesi,historic,Eyup / Pierre Loti,41.05601119995117,28.940004348754883,0.0021824300513044,58.01,0.6084517240524292,0.0035868581927403
2026-05-03,otm_W165502587,"Church of Saint Benoit, Istanbul",religious,Galata Tower,41.02507781982422,28.976776123046875,0.0021812795451494,57.98,0.6084517240524292,0.0035849673177382
2026-05-03,otm_N5524863624,Ihlamur Palace,historic,Dolmabahce,41.05079650878906,28.999774932861328,0.0021805926490352,57.96,0.6084517240524292,0.0035838383931464
2026-05-03,otm_N4509066189,Vefa Kilise Mosque,religious,Suleymaniye,41.01634979248047,28.960275650024418,0.0021773635806087,57.87,0.6084517240524292,0.003578531368285
2026-05-03,otm_W263949143,Dolmabahçe Clock Tower,attraction,Dolmabahce,41.03765869140625,28.996362686157227,0.0021770540055933,57.87,0.6084517240524292,0.0035780225768671
2026-05-03,otm_W165517351,Ashkenazi Synagogue,religious,Galata Tower,41.02449417114258,28.975082397460938,0.0021754228269653,57.82,0.6084517240524292,0.0035753417090784
2026-05-03,otm_N5600243670,Surp Asdvadzadzin Kilisesi,religious,Yildiz Palace,41.0445556640625,29.00530433654785,0.0021730751638247,57.76,0.6084517240524292,0.0035714832876987
2026-05-03,otm_N1620494633,Tomb of Hatice Turhan Sultan,historic,Eminonu / Spice Bazaar,41.01620101928711,28.971904754638672,0.0021663413687627,57.58,0.6084517240524292,0.003560416189364
2026-05-03,otm_N8615579901,Mehmed Kemal Bey  sepulchral monument,historic,Kadikoy Historic Center,40.99152755737305,29.034744262695312,0.0021588135293994,57.38,0.6084517240524292,0.0035480440667031
2026-05-03,otm_Q61071689,Ayrılık Çeşmesi,historic,Kadikoy Historic Center,41.000221252441406,29.030738830566406,0.0021585288481691,57.37,0.6084517240524292,0.0035475761886134
2026-05-03,otm_Q647228,"Edirnekapı, Istanbul",historic,Balat / Fener,41.03111267089844,28.93916702270508,0.0021574197380872,57.34,0.6084517240524292,0.00354575334871
2026-05-03,otm_Q106090932,İbrahim Ağa Çeşmesi,historic,Kadikoy Historic Center,41.00149917602539,29.031665802001953,0.0021548490049453,57.28,0.6084517240524292,0.0035415283082667
2026-05-03,otm_Q3360967,palais de France,historic,Istiklal / Pera,41.03083419799805,28.977222442626953,0.0021544307415911,57.26,0.6084517240524292,0.0035408408858507
2026-05-03,otm_Q105982169,Yoğurtçu Çeşmesi,historic,Kadikoy Historic Center,40.983612060546875,29.03324508666992,0.0021524358226182,57.21,0.6084517240524292,0.0035375622050711
2026-05-03,otm_Q106175113,Osman Ağa Çeşmesi,historic,Kadikoy Historic Center,40.99553680419922,29.041166305541992,0.002151859123119,57.2,0.6084517240524292,0.0035366143903532
2026-05-03,otm_W331247663,Zal Mahmud Pasha Mosque,religious,Eyup / Pierre Loti,41.04463577270508,28.93585205078125,0.0021456163127111,57.03,0.6084517240524292,0.0035263542330374
2026-05-03,otm_Q106090154,Hasan Rıza Paşa Çeşmesi,historic,Kadikoy Historic Center,40.98518371582031,29.02216339111328,0.0021451825891155,57.02,0.6084517240524292,0.0035256414014708
2026-05-03,otm_W175517661,Mahmut Pasha Hamam,religious,Eminonu / Spice Bazaar,41.01119613647461,28.971376419067383,0.0021440666131178,56.99,0.6084517240524292,0.0035238072773265
2026-05-03,otm_N5599930452,Surp Pirgiç Catholic Church,religious,Galata Tower,41.02450180053711,28.97600746154785,0.0021429553004058,56.96,0.6084517240524292,0.0035219808173658
2026-05-03,otm_N8225587082,Feshane,historic,Eyup / Pierre Loti,41.0455436706543,28.937965393066406,0.0021424520808953,56.95,0.6084517240524292,0.0035211537681677
