poi_id,osm_name,osm_name_en,osm_category,osm_importance_score,otm_xid,otm_name,otm_kinds,otm_bucket,otm_query_area,otm_wikidata,distance_km,token_overlap_score,category_match,distance_score,combined_score
8120955,İbrahim Paşa Sarayı,Ibrahim Pasha Palace,historic,0.8589147224356382,N415157636,Serpent Column,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q588892,0.08554701047333181,0.0,1,0.8574216492111136,0.4502468845463422
1377906859,Üçler Mescidi,,historic,0.7727022688342846,N415157636,Serpent Column,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q588892,0.06653718190549578,0.0,1,0.8891046968241737,0.44954640108947186
109874498,Alman Çeşmesi,German Fountain,attraction,0.7910746890319853,W132277802,Firuz Ağa Mosque,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q2565317,0.09050514363733936,0.0,1,0.8491580939377678,0.44139699238764046
8120955,İbrahim Paşa Sarayı,Ibrahim Pasha Palace,historic,0.8589147224356382,Q1152384,Palace of Daphne,"palaces,architecture,historic_architecture,interesting_places",historic,"Sultanahmet, Istanbul",Q1152384,0.10929777773271403,0.0,1,0.8178370371121433,0.4403507315215996
1184924695,Yerebatan Sarnıcı,,historic,0.7850238528242527,N1908677124,Milion,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments",historic,"Sultanahmet, Istanbul",Q1187329,0.09330364925627137,0.0,1,0.8444939179062144,0.43962586475897886
8120955,İbrahim Paşa Sarayı,Ibrahim Pasha Palace,historic,0.8589147224356382,N415156590,The Walled Obelisk,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q742474,0.11115464425548066,0.0,1,0.8147422595741989,0.43957703713711355
103953125,Sultan Ahmet Türbesi,Tomb of Sultan Ahmed I,attraction,0.8358979261397337,Q3082387,Church of the Virgin of the Pharos,"religion,churches,interesting_places,other_churches",attraction,"Sultanahmet, Istanbul",Q3082387,0.10822681242563723,0.0,1,0.8196219792906047,0.4384952874366245
109738926,Sıbyan Mektebi,,historic,0.7630982709605257,N1908677124,Milion,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments",historic,"Sultanahmet, Istanbul",Q1187329,0.09258618851136392,0.0,1,0.8456896858143934,0.437732248549651
1184924695,Yerebatan Sarnıcı,,historic,0.7850238528242527,N5108843107,Milion Stone,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments",historic,"Sultanahmet, Istanbul",Q1187329,0.09963474786172224,0.0,1,0.8339420868971296,0.43698790700670764
1377906859,Üçler Mescidi,,historic,0.7727022688342846,N415157637,Obelisk of Theodosius,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q763854,0.09778012110090288,0.0,1,0.8370331314984952,0.43652850975805224
32396432,III. Ahmet Çeşmesi,Sultan Ahmed III Fountain,attraction,0.7283870411993926,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.3897581729875918,0.25,1,0.3504030450206803,0.4354394653751093
109738926,Sıbyan Mektebi,,historic,0.7630982709605257,N5108843107,Milion Stone,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments",historic,"Sultanahmet, Istanbul",Q1187329,0.10171537121449607,0.0,1,0.8304743813091732,0.43392842242334584
5244801843,Marmara Üniversitesi Cumhuriyet Müzesi ve Sanat Galerisi,,museum,0.8044155331141827,N5113500256,Museum of Turkish and Islamic arts,"national_museums,cultural,museums,interesting_places",museum,"Sultanahmet, Istanbul",Q525939,0.11739945954706603,0.0,1,0.8043342340882232,0.4315251118334741
132277807,Şehzadeler Türbesi,Mausoleum of Princes,historic,0.8078603320712782,N1908677124,Milion,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments",historic,"Sultanahmet, Istanbul",Q1187329,0.11828804897869784,0.0,1,0.8028532517021703,0.4314993461326704
5113620677,Sahabe-i Kiramdan Abdurrahman Şami Türbesi,,historic,0.8038441577882711,Q475338,Great Palace of Constantinople,"palaces,architecture,historic_architecture,interesting_places,destroyed_objects",historic,"Sultanahmet, Istanbul",Q475338,0.11955755552342974,0.0,1,0.8007374074609505,0.4305687676440647
1120852418,Örme Dikilitaş,The Walled Obelisk,historic,0.7727815775079241,Q1152384,Palace of Daphne,"palaces,architecture,historic_architecture,interesting_places",historic,"Sultanahmet, Istanbul",Q1152384,0.11755056586262937,0.0,1,0.8040823902289511,0.4282987553080302
7656706,Şehzadebaşı Camii,The Şehzade Mosque,attraction,0.6552747371709069,W331196574,Mosque with the Spiral Minaret,"religion,mosques,interesting_places",attraction,"Eminonu, Istanbul",Q1590626,0.09300625901268139,0.0,1,0.8449895683121977,0.4267748657951401
3254460380,Fatih Anıtı,Mehmed II the Conqueror,historic,0.6193331519061661,W23276526,Valens Aqueduct,"bridges,architecture,interesting_places,aqueducts",historic,"Eminonu, Istanbul",Q952924,0.1091382093505482,0.0,1,0.818102984415753,0.4164590612945549
709381141,Sultan II. Selim Türbesi,Mausoleum of Sultan Selim II,historic,0.8004027259690221,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.25770398011355544,0.3333333333333333,0,0.5704933664774076,0.38933028088292077
109836395,Sultan III. Murad Türbesi,Mausoleum of Sultan Murad III,historic,0.8041543523982415,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.2371950547409514,0.25,0,0.604674908765081,0.3565841624310944
109836394,Sultan III. Mehmet Türbesi,Mausoleum of Sultan Mehmed III,historic,0.8003294918903925,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.2642023359320022,0.25,0,0.559662773446663,0.344948642550705
329062194,Sultan 2. Mahmut Türbesi,Mausoleum of Sultan Mahmud II,historic,0.7990432221724273,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.41778025464178836,0.3333333333333333,0,0.3036995755970193,0.3224958827831642
331191334,Fâtih Sultan Mehmed Han Türbesi,Tomb of Sultan Muhammad Al-Fatih,historic,0.6183452696365977,Q6045782,"İskender Pasha Mosque, Fatih","religion,mosques,interesting_places",attraction,"Eminonu, Istanbul",Q6045782,0.3539684944667107,0.2,0,0.41005250922214886,0.264347654269197
499944929,III. Mustafa Türbesi,Mausoleum Sultan Mustafa Pasha III and his son Sultan Selim III,historic,0.6358621482212943,N5081274335,Pertevniyal Valide Sultan Mosque,"religion,mosques,interesting_places",attraction,"Eminonu, Istanbul",Q2719785,0.2598409701429544,0.1111111111111111,0,0.5669317164284093,0.2608746994847873
499944929,III. Mustafa Türbesi,Mausoleum Sultan Mustafa Pasha III and his son Sultan Selim III,historic,0.6358621482212943,W316903985,Pertevniyal Valide Sultan Mosque,"religion,mosques,interesting_places",attraction,"Eminonu, Istanbul",Q2719785,0.26020772988041585,0.1111111111111111,0,0.5663204501993069,0.2607218829275117
3254460380,Fatih Anıtı,Mehmed II the Conqueror,historic,0.6193331519061661,Q6045782,"İskender Pasha Mosque, Fatih","religion,mosques,interesting_places",attraction,"Eminonu, Istanbul",Q6045782,0.5456692626841625,0.3333333333333333,0,0.0905512288597291,0.25123778907221556
13385771382,Sultan Abdulaziz Han kabri,,historic,0.7578610436970555,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.4222688097990272,0.2,0,0.29621865033495465,0.24984076695344423
