date,trend_demand,temp_max,temp_min,temp_avg,precipitation,crowd_index,crowd_level,month,week_of_year,season_spring,season_summer,season_winter,weekofyear
2024-01-07,0.0,14.457142857142856,8.328571428571427,0.3545878693623639,0.0993103448275862,0.28651429184319194,Low,1,1,False,False,True,1
2024-01-14,0.12970711297071133,7.242857142857143,1.6571428571428573,0.10471747019180924,0.22896551724137934,0.25047569409462256,Low,1,2,False,False,True,2
2024-01-21,0.13807531380753138,12.385714285714286,6.6571428571428575,0.28149300155520995,0.3220689655172414,0.2890717642668804,Low,1,3,False,False,True,3
2024-01-28,0.15481171548117156,7.942857142857142,2.6,0.1306376360808709,0.07448275862068966,0.30170059684070916,Low,1,4,False,False,True,4
2024-02-04,0.0,7.685714285714285,2.5714285714285716,0.12856402280974596,0.05517241379310345,0.2275347240843031,Low,2,5,False,False,True,5
2024-02-11,0.0,15.857142857142858,10.44285714285714,0.39709694142042506,0.0027586206896551726,0.3185773582881965,Low,2,6,False,False,True,6
2024-02-18,0.0,10.585714285714284,6.285714285714286,0.24157594608605498,0.1917241379310345,0.23412795623960964,Low,2,7,False,False,True,7
2024-02-25,0.13807531380753138,13.142857142857142,3.9,0.2405391394504925,0.0,0.3411993987389135,Medium,2,8,False,False,True,8
2024-03-03,0.0,15.842857142857143,6.0,0.27527216174183516,0.004137931034482759,0.28175406231565403,Low,3,9,True,False,False,9
2024-03-10,0.17154811715481172,11.457142857142856,4.1,0.21047174701918092,0.15517241379310348,0.31788109992453945,Low,3,10,True,False,False,10
2024-03-17,0.13807531380753138,14.228571428571428,5.728571428571429,0.28719543805080355,0.14965517241379309,0.32526525383624816,Low,3,11,True,False,False,11
2024-03-24,0.0,11.94285714285714,2.242857142857143,0.20425090720580613,0.06896551724137931,0.24748216871346598,Low,3,12,True,False,False,12
2024-03-31,0.14644351464435149,19.585714285714285,9.228571428571428,0.4421980300673925,0.11172413793103447,0.38353633875618665,Medium,3,13,True,False,False,13
2024-04-07,0.2092050209205021,20.685714285714287,10.142857142857142,0.46967340590979784,0.00896551724137931,0.44371142878491454,Medium,4,14,True,False,False,14
2024-04-14,0.0,20.02857142857143,9.814285714285717,0.4504924831518922,0.0,0.33514774494556765,Medium,4,15,True,False,False,15
2024-04-21,0.14225941422594143,20.62857142857143,11.6,0.5194401244167963,0.26068965517241377,0.37482381340352683,Medium,4,16,True,False,False,16
2024-04-28,0.21757322175732222,20.514285714285712,13.328571428571427,0.534473820632452,0.18689655172413794,0.4317494467235691,Medium,4,17,True,False,False,17
2024-05-05,0.2468619246861925,17.042857142857144,11.2,0.44582685329186117,0.2,0.4171790183306546,Medium,5,18,True,False,False,18
2024-05-12,0.28451882845188287,19.957142857142856,10.171428571428573,0.4733022291342665,0.20758620689655174,0.442732841586911,Medium,5,19,True,False,False,19
2024-05-19,0.0,19.228571428571428,9.9,0.4556765163297046,0.08620689655172414,0.3194615755885666,Low,5,20,True,False,False,20
2024-05-26,0.0,21.75714285714286,13.528571428571428,0.5603939865215137,0.07793103448275862,0.3525319890599024,Medium,5,21,True,False,False,21
2024-06-02,0.1673640167364017,25.542857142857144,13.842857142857143,0.6594090202177294,0.017931034482758616,0.47791850753696796,High,6,22,False,True,False,22
2024-06-09,0.2259414225941423,30.47142857142857,19.17142857142857,0.8284085018144116,0.0,0.5614932618413946,High,6,23,False,True,False,23
