xid,name,dist,rate,osm,wikidata,kinds,point,query_area
N4519290891,Selman aga Camii,51.2820677,3,node/4519290891,Q6056669,"religion,mosques,interesting_places","{'lon': 29.01579475402832, 'lat': 41.025699615478516}",Uskudar Waterfront
W261825033,Church of St. Mary of the Mongols,57.65552605,3,way/261825033,Q1950180,"religion,churches,interesting_places,eastern_orthodox_churches","{'lon': 28.949026107788086, 'lat': 41.02960205078125}",Balat / Fener
N269370709,Rumelihisarı,58.4712948,3,node/269370709,Q90801,"fortifications,historic,interesting_places,castles","{'lon': 29.056476593017578, 'lat': 41.084434509277344}",Rumeli Hisari
Q3082387,Church of the Virgin of the Pharos,59.81250368,3,,Q3082387,"religion,churches,interesting_places,other_churches","{'lon': 28.977222442626953, 'lat': 41.00583267211914}",Sultanahmet Core
W498861735,Ortaköy Mosque,69.51346995,3,way/498861735,Q176380,"religion,mosques,interesting_places","{'lon': 29.026826858520508, 'lat': 41.04729461669922}",Ortakoy
W600269984,Eyüp Sultan Mosque,80.30487137,3,way/600269984,Q956677,"religion,mosques,interesting_places","{'lon': 28.93349838256836, 'lat': 41.047603607177734}",Eyup / Pierre Loti
W261821356,Eyüp Sultan Mosque,86.50039127,3,way/261821356,Q956677,"religion,mosques,interesting_places","{'lon': 28.93372917175293, 'lat': 41.048011779785156}",Eyup / Pierre Loti
W61736367,Beylerbeyi Palace,87.1573519,3,way/61736367,Q794349,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums","{'lon': 29.040014266967773, 'lat': 41.042694091796875}",Beylerbeyi Palace
N4591192493,Spice Bazaar,92.14015793,3,node/4591192493,Q668641,"view_points,other,interesting_places,shops,marketplaces,tourist_facilities","{'lon': 28.971256256103516, 'lat': 41.01628112792969}",Eminonu / Spice Bazaar
N3386270532,Galatasaray Museum,93.16383168,3,node/3386270532,Q3329724,"cultural,museums,interesting_places,art_galleries","{'lon': 28.976940155029297, 'lat': 41.03348159790039}",Istiklal / Pera
W24826707,Dolmabahçe Palace,101.15102693,3,way/24826707,Q274141,"gardens_and_parks,cultural,urban_environment,interesting_places","{'lon': 28.99953842163086, 'lat': 41.038963317871094}",Dolmabahce
W175516451,Dolmabahce Palace,109.12901391,3,way/175516451,Q274141,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums","{'lon': 28.999526977539062, 'lat': 41.038780212402344}",Dolmabahce
Q16947921,Fountain of Ahmed III (Üsküdar),110.3831453,3,,Q16947921,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments","{'lon': 29.01535415649414, 'lat': 41.02678680419922}",Uskudar Waterfront
N1964555485,Beylerbeyi Palace,111.08306623,3,node/1964555485,Q794349,"palaces,architecture,historic_architecture,interesting_places","{'lon': 29.041749954223633, 'lat': 41.04167556762695}",Beylerbeyi Palace
W263949137,Dolmabahçe Palace,111.66312965,3,way/263949137,Q274141,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums","{'lon': 29.00181007385254, 'lat': 41.03975296020508}",Dolmabahce
R7321116,Yeni Valide Cami,112.00300158,3,relation/7321116,Q2334567,"religion,mosques,interesting_places","{'lon': 29.015148162841797, 'lat': 41.0247917175293}",Uskudar Waterfront
Q59238241,Ayios Fokas Church,115.09859748,3,,Q59238241,"religion,other_temples,interesting_places","{'lon': 29.026111602783203, 'lat': 41.04833221435547}",Ortakoy
W32396432,Sultan Ahmed III Fountain,118.09999663,3,way/32396432,Q3076126,"fountains,cultural,urban_environment,interesting_places","{'lon': 28.981260299682617, 'lat': 41.008262634277344}",Hagia Sophia / Basilica Cistern
W822870615,New Mosque Square,118.22234564,3,way/822870615,Q911720,"religion,mosques,interesting_places","{'lon': 28.97157859802246, 'lat': 41.01670455932617}",Eminonu / Spice Bazaar
W333931123,Mihrimah Sultan Camii,126.94815319,3,way/333931123,Q2537376,"religion,mosques,interesting_places","{'lon': 29.016056060791016, 'lat': 41.02674102783203}",Uskudar Waterfront
W333931122,Mihrimah Sultan Camii,130.27950973,3,way/333931122,Q2537376,"religion,mosques,interesting_places","{'lon': 29.016098022460938, 'lat': 41.026756286621094}",Uskudar Waterfront
W333931124,Mihrimah Sultan Camii,130.61499322,3,way/333931124,Q2537376,"religion,mosques,interesting_places","{'lon': 29.015914916992188, 'lat': 41.0268440246582}",Uskudar Waterfront
N415157637,Obelisk of Theodosius,132.10370913,3,node/415157637,Q763854,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments","{'lon': 28.975379943847656, 'lat': 41.00590896606445}",Sultanahmet Core
W319020883,Istanbul Archaeological Museum,133.08462291,3,way/319020883,Q636978,"national_museums,archaeological_museums,cultural,museums,interesting_places,history_museums","{'lon': 28.98172950744629, 'lat': 41.01164627075195}",Topkapi Palace
N1768294290,Great Palace Mosaic Museum,136.9190868,3,node/1768294290,Q2719230,"national_museums,cultural,museums,interesting_places","{'lon': 28.977449417114258, 'lat': 41.004268646240234}",Sultanahmet Core
Q475338,Great Palace of Constantinople,137.21121908,3,,Q475338,"palaces,architecture,historic_architecture,interesting_places,destroyed_objects","{'lon': 28.9777774810791, 'lat': 41.00638961791992}",Sultanahmet Core
N8010273385,Nizam Pide Galatasaray,139.12557254,3,node/8010273385,Q3329724,"cultural,museums,interesting_places,restaurants,foods,art_galleries,tourist_facilities","{'lon': 28.976577758789062, 'lat': 41.03465270996094}",Istiklal / Pera
W23276526,Valens Aqueduct,140.64764642,3,way/23276526,Q952924,"bridges,architecture,interesting_places,aqueducts","{'lon': 28.95530128479004, 'lat': 41.016117095947266}",Fatih / Valens Aqueduct
W165517351,Ashkenazi Synagogue,145.56877382,3,way/165517351,Q2079847,"religion,synagogues,interesting_places","{'lon': 28.975082397460938, 'lat': 41.02449417114258}",Galata Tower
Q97368741,Halid Ağa Çeşmesi,149.21715487,3,,Q97368741,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments","{'lon': 29.028024673461914, 'lat': 40.9912109375}",Kadikoy Historic Center
N3360668134,Church of Saints Peter and Paul,155.34608392,3,node/3360668134,Q3671773,"religion,churches,interesting_places,other_churches","{'lon': 28.972944259643555, 'lat': 41.024837493896484}",Galata Tower
N6271794608,Italian Synagogue,158.93273509,3,node/6271794608,Q2574448,"religion,synagogues,interesting_places","{'lon': 28.972545623779297, 'lat': 41.02542495727539}",Galata Tower
W709381140,Soğukçeşme Sokağı,160.70696987,3,way/709381140,Q3300856,"other,unclassified_objects,interesting_places,historic_object","{'lon': 28.98009490966797, 'lat': 41.00944137573242}",Hagia Sophia / Basilica Cistern
N1908677124,Milion,161.46893638,3,node/1908677124,Q1187329,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments","{'lon': 28.977983474731445, 'lat': 41.00806427001953}",Hagia Sophia / Basilica Cistern
Q6447963,Istanbul Painting and Sculpture Museum,165.73712667,3,,Q6447963,"museums,cultural,interesting_places,art_galleries","{'lon': 28.99888801574707, 'lat': 41.038612365722656}",Dolmabahce
N415156590,The Walled Obelisk,166.71480979,3,node/415156590,Q742474,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments","{'lon': 28.97481918334961, 'lat': 41.00539779663086}",Sultanahmet Core
R7574356,New Mosque,167.98856242,3,relation/7574356,Q911720,"religion,mosques,interesting_places","{'lon': 28.972124099731445, 'lat': 41.01690673828125}",Eminonu / Spice Bazaar
N5108843107,Milion Stone,170.40079152,3,node/5108843107,Q1187329,"milestones,architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,destroyed_objects,monuments","{'lon': 28.977874755859375, 'lat': 41.00798416137695}",Hagia Sophia / Basilica Cistern
W180546853,Basilica Cistern,172.25768396,3,way/180546853,Q216511,"palaces,architecture,historic_architecture,historic,archaeology,interesting_places,other_archaeological_sites","{'lon': 28.977922439575195, 'lat': 41.00840377807617}",Hagia Sophia / Basilica Cistern
Q211004,Ecumenical Patriarchate of Constantinople,175.67775051,3,,Q211004,"religion,other_temples,interesting_places","{'lon': 28.9516658782959, 'lat': 41.02916717529297}",Balat / Fener
W335415778,Topkapı Palace,176.48062573,3,way/335415778,Q170495,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums","{'lon': 28.984066009521484, 'lat': 41.012977600097656}",Topkapi Palace
R9534796,Mihrimah Sultan Mosque,178.2689898,3,relation/9534796,Q2537376,"religion,mosques,interesting_places","{'lon': 29.016155242919922, 'lat': 41.0272331237793}",Uskudar Waterfront
W175518494,Rüstem Pasha Mosque,180.77462154,3,way/175518494,Q1137511,"religion,mosques,interesting_places","{'lon': 28.968698501586914, 'lat': 41.01766586303711}",Eminonu / Spice Bazaar
W103339339,Tiled Kiosk,182.97617478,3,way/103339339,Q3294735,"cultural,museums,interesting_places,art_galleries","{'lon': 28.981237411499023, 'lat': 41.01202392578125}",Topkapi Palace
N5506396363,The Jewish Museum of Turkey,185.28282968,3,node/5506396363,Q1059699,"religion,synagogues,cultural,museums,interesting_places,other_museums","{'lon': 28.972728729248047, 'lat': 41.02678680419922}",Galata Tower
N5599930452,Surp Pirgiç Catholic Church,189.66052477,3,node/5599930452,Q25474010,"religion,churches,interesting_places,catholic_churches","{'lon': 28.97600746154785, 'lat': 41.02450180053711}",Galata Tower
W112619334,Church of Saint Anthony of Padua,189.74581454,3,way/112619334,Q810122,"religion,churches,interesting_places,catholic_churches","{'lon': 28.977197647094727, 'lat': 41.03227615356445}",Istiklal / Pera
W109874498,German Fountain,190.87767298,3,way/109874498,Q322920,"fountains,cultural,urban_environment,interesting_places","{'lon': 28.976675033569336, 'lat': 41.00711441040039}",Sultanahmet Core
R12097039,Istanbul Archaeology Museums,192.50692684,3,relation/12097039,Q636978,"national_museums,archaeological_museums,cultural,museums,interesting_places,history_museums","{'lon': 28.98102378845215, 'lat': 41.01168441772461}",Topkapi Palace
R8120955,Turk and Islamic Art Museum,195.40366904,3,relation/8120955,Q525939,"national_museums,cultural,museums,interesting_places","{'lon': 28.974912643432617, 'lat': 41.00642395019531}",Sultanahmet Core
W526875901,Church of St. George,195.43958887,3,way/526875901,Q1346546,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches","{'lon': 28.951894760131836, 'lat': 41.02912139892578}",Balat / Fener
W235498056,Surp Takavor Armenian Church,195.89606667,3,way/235498056,Q20471319,"religion,churches,interesting_places,other_churches","{'lon': 29.024410247802734, 'lat': 40.9898681640625}",Kadikoy Historic Center
N768706518,Neve Shalom Synagogue,196.18155228,3,node/768706518,Q747244,"religion,synagogues,interesting_places","{'lon': 28.97247314453125, 'lat': 41.026695251464844}",Galata Tower
Q105758760,Hasan Rıza Pasha Fountain,200.38806755,3,,Q105758760,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments","{'lon': 29.027828216552734, 'lat': 40.98951721191406}",Kadikoy Historic Center
N5113500256,Museum of Turkish and Islamic arts,201.97487504,3,node/5113500256,Q525939,"national_museums,cultural,museums,interesting_places","{'lon': 28.974658966064453, 'lat': 41.006221771240234}",Sultanahmet Core
N5111212308,İşbank Museum,206.97969901,3,node/5111212308,Q16850066,"cultural,museums,interesting_places,other_museums","{'lon': 28.972620010375977, 'lat': 41.01616668701172}",Eminonu / Spice Bazaar
W165502587,"Church of Saint Benoit, Istanbul",211.32253075,3,way/165502587,Q5117030,"religion,churches,interesting_places,catholic_churches","{'lon': 28.976776123046875, 'lat': 41.02507781982422}",Galata Tower
N4889959434,Doğançay Museum,211.43234472,3,node/4889959434,Q5303887,"cultural,museums,interesting_places,art_galleries","{'lon': 28.978370666503906, 'lat': 41.035770416259766}",Istiklal / Pera
R4742554,Hagia Irene,217.06175579,3,relation/4742554,Q736676,"religion,churches,cultural,museums,interesting_places,other_museums,other_churches","{'lon': 28.981063842773438, 'lat': 41.00974655151367}",Hagia Sophia / Basilica Cistern
N4889905032,SALT Galata,217.40906725,3,node/4889905032,Q3169139,"cultural,museums,interesting_places,art_galleries","{'lon': 28.973472595214844, 'lat': 41.02387237548828}",Galata Tower
W236504054,Osman ağa Mosque,218.17782057,3,way/236504054,Q6029146,"religion,mosques,interesting_places","{'lon': 29.024702072143555, 'lat': 40.98935317993164}",Kadikoy Historic Center
N6185582262,pera,222.76517542,3,node/6185582262,Q1662392,"cultural,museums,interesting_places,restaurants,foods,art_galleries,tourist_facilities","{'lon': 28.975330352783203, 'lat': 41.03341293334961}",Istiklal / Pera
N4312551404,St. Stephan Ortodox church,226.39537364,3,node/4312551404,Q2094950,"religion,churches,interesting_places,eastern_orthodox_churches","{'lon': 28.94965362548828, 'lat': 41.03173828125}",Balat / Fener
W175519383,Bulgarian Church of St. Stephen,234.25817012,3,way/175519383,Q2094950,"religion,churches,interesting_places,eastern_orthodox_churches","{'lon': 28.94978141784668, 'lat': 41.03180694580078}",Balat / Fener
N4763681623,Alfred Heilbronn Botanical Garden,234.73247257,3,node/4763681623,Q55594541,"urban_environment,gardens_and_parks,cultural,interesting_places","{'lon': 28.963871002197266, 'lat': 41.018314361572266}",Suleymaniye
W307332872,Yerebatan Camii,234.90926823,3,way/307332872,Q216511,"religion,palaces,architecture,historic_architecture,other_temples,historic,archaeology,interesting_places,other_archaeological_sites","{'lon': 28.977510452270508, 'lat': 41.00909423828125}",Hagia Sophia / Basilica Cistern
W498861861,Ciragan Palace,239.51687827,3,way/498861861,Q273225,"palaces,architecture,historic_architecture,interesting_places","{'lon': 29.01531410217285, 'lat': 41.0434684753418}",Yildiz Palace
Q784328,Armenian Catholic Archeparchy of Istanbul,247.32586581,3,,Q784328,"religion,other_temples,interesting_places","{'lon': 28.979799270629883, 'lat': 41.03559875488281}",Istiklal / Pera
N4169858237,Kadıköy Haldun Taner Stage,255.25413032,3,node/4169858237,Q15533769,"cultural,theatres_and_entertainments,interesting_places,other_theatres","{'lon': 29.02425193786621, 'lat': 40.99259567260742}",Kadikoy Historic Center
W104061375,Zeynep Sultan Camii,258.23910109,3,way/104061375,Q1153320,"religion,mosques,interesting_places","{'lon': 28.978498458862305, 'lat': 41.01007080078125}",Hagia Sophia / Basilica Cistern
W403116676,Aşiyan Asri Cemetery,262.88326237,3,way/403116676,Q4833524,"cemeteries,historic,burial_places,interesting_places","{'lon': 29.05545997619629, 'lat': 41.082759857177734}",Rumeli Hisari
W25542618,Gülhane Park,263.44756515,3,way/25542618,Q1560106,"urban_environment,gardens_and_parks,cultural,interesting_places","{'lon': 28.98090171813965, 'lat': 41.01302719116211}",Topkapi Palace
W329264309,Şeyh Süleyman Mosque,263.55652995,3,way/329264309,Q8082507,"religion,mosques,interesting_places","{'lon': 28.955366134643555, 'lat': 41.01921081542969}",Fatih / Valens Aqueduct
W102190100,Haldun Taner Stage,263.84154156,3,way/102190100,Q15533769,"cultural,theatres_and_entertainments,interesting_places,other_theatres","{'lon': 29.023448944091797, 'lat': 40.991886138916016}",Kadikoy Historic Center
W335402651,Imperial Mint,271.20424925,3,way/335402651,Q6090328,"other,unclassified_objects,interesting_places,tourist_object","{'lon': 28.980379104614258, 'lat': 41.010467529296875}",Topkapi Palace
W132277802,Firuz Ağa Mosque,275.48899401,3,way/132277802,Q2565317,"religion,mosques,interesting_places","{'lon': 28.976177215576172, 'lat': 41.007835388183594}",Sultanahmet Core
W331196574,Mosque with the Spiral Minaret,275.92635755,3,way/331196574,Q1590626,"religion,mosques,interesting_places","{'lon': 28.956363677978516, 'lat': 41.01451873779297}",Fatih / Valens Aqueduct
Q20473668,Nevşehirli Damat İbrahim Paşa Fountain,279.36067346,3,,Q20473668,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments","{'lon': 29.012451171875, 'lat': 41.02438735961914}",Uskudar Waterfront
W136456159,Fethiye Museum,285.2461708,3,way/136456159,Q1420984,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches","{'lon': 28.946388244628906, 'lat': 41.02914810180664}",Balat / Fener
N5243953326,Fethiye Camii,287.03881627,3,node/5243953326,Q1420984,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches","{'lon': 28.94639015197754, 'lat': 41.02906799316406}",Balat / Fener
N5108843571,Zeynep Sultan Mosque,287.14645238,3,node/5108843571,Q1153320,"religion,mosques,interesting_places","{'lon': 28.97836685180664, 'lat': 41.010311126708984}",Hagia Sophia / Basilica Cistern
N4509066189,Vefa Kilise Mosque,296.92538178,3,node/4509066189,Q246275,"religion,churches,interesting_places,other_churches","{'lon': 28.960275650024414, 'lat': 41.01634979248047}",Suleymaniye
W236642397,Saint Leon,297.50069966,3,way/236642397,Q25474039,"religion,churches,interesting_places,other_churches","{'lon': 29.02947235107422, 'lat': 40.98971939086914}",Kadikoy Historic Center
W137519649,Molla Zeyrek Mosque,307.24056961,3,way/137519649,Q197094,"religion,mosques,churches,monasteries,interesting_places,other_churches","{'lon': 28.95724868774414, 'lat': 41.01970672607422}",Fatih / Valens Aqueduct
Q1775929,Kloster Sanctus Angelus in Petra,308.35731938,3,,Q1775929,"religion,monasteries,interesting_places","{'lon': 28.95722198486328, 'lat': 41.01972198486328}",Fatih / Valens Aqueduct
Q3407358,Hodegon Monastery,310.59514169,3,,Q3407358,"religion,monasteries,interesting_places","{'lon': 28.98503303527832, 'lat': 41.009029388427734}",Topkapi Palace
W109980654,Ahi Çelebi Mosque,310.86133448,3,way/109980654,Q6957244,"religion,mosques,interesting_places","{'lon': 28.968408584594727, 'lat': 41.01894760131836}",Eminonu / Spice Bazaar
W165717590,Crimea Memorial Church,315.37426502,3,way/165717590,Q5185447,"religion,churches,interesting_places,other_churches","{'lon': 28.977121353149414, 'lat': 41.027652740478516}",Galata Tower
N2500907259,Arap Mosque,319.04585132,3,node/2500907259,Q642478,"religion,mosques,interesting_places","{'lon': 28.971057891845703, 'lat': 41.02434158325195}",Galata Tower
N5244812070,Dostlar Tiyatrosu,320.16709323,3,node/5244812070,Q6100278,"cultural,theatres_and_entertainments,interesting_places,other_theatres","{'lon': 28.96481704711914, 'lat': 41.018978118896484}",Suleymaniye
N4988111427,Ruins of Bucoleon Palace,323.27611722,3,node/4988111427,Q1003322,"palaces,architecture,historic_architecture,interesting_places","{'lon': 28.976146697998047, 'lat': 41.002532958984375}",Sultanahmet Core
N654205150,Pera Museum,323.82332551,3,node/654205150,Q1662392,"cultural,museums,interesting_places,art_galleries","{'lon': 28.97514533996582, 'lat': 41.0318603515625}",Istiklal / Pera
W237833983,Şemsi Pasha Mosque,323.98892778,3,way/237833983,Q1572431,"religion,mosques,interesting_places","{'lon': 29.0113525390625, 'lat': 41.025943756103516}",Uskudar Waterfront
W237833975,Salacak Fatih Camii,325.04084585,3,way/237833975,Q20476395,"religion,mosques,interesting_places","{'lon': 29.00796127319336, 'lat': 41.020973205566406}",Maiden's Tower Coast
N5113500244,Cistern of Philoxenos,325.60357529,3,node/5113500244,Q2728644,"historic,archaeology,cultural,museums,interesting_places,other_museums,other_archaeological_sites","{'lon': 28.974090576171875, 'lat': 41.00749206542969}",Sultanahmet Core
N4516761894,Cistern of Binbirdirek (Philoxenos),326.12241118,3,node/4516761894,Q2728644,"historic,archaeology,interesting_places,other_archaeological_sites","{'lon': 28.973947525024414, 'lat': 41.007389068603516}",Sultanahmet Core
N4999341455,Binbirdirek,329.350355,3,node/4999341455,Q2728644,"historic,archaeology,interesting_places,other_archaeological_sites","{'lon': 28.97320556640625, 'lat': 41.00657272338867}",Sultanahmet Core
N2472730735,Cistern of Philoxenos,329.57101376,3,node/2472730735,Q2728644,"historic,archaeology,cultural,museums,interesting_places,other_museums,other_archaeological_sites","{'lon': 28.973970413208008, 'lat': 41.00745391845703}",Sultanahmet Core
W165575977,Surp Krikor Lusavoric Church,338.1169451,3,way/165575977,Q20472836,"religion,churches,interesting_places,other_churches","{'lon': 28.97842025756836, 'lat': 41.025657653808594}",Galata Tower
N3254460381,Aviation Martyrs' Monument,340.9629473,3,node/3254460381,Q1447350,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments","{'lon': 28.952634811401367, 'lat': 41.016075134277344}",Fatih / Valens Aqueduct
W214800348,Cistern of Philoxenos,347.79611655,3,way/214800348,Q2728644,"historic,archaeology,interesting_places,other_archaeological_sites","{'lon': 28.973716735839844, 'lat': 41.007484436035156}",Sultanahmet Core
W236166952,Kadıköy (Metro İstanbul),349.06145047,3,way/236166952,Q18712376,"architecture,historic_architecture,interesting_places,other_buildings_and_structures","{'lon': 29.02216339111328, 'lat': 40.990657806396484}",Kadikoy Historic Center
R7656706,Şehzade Mosque,355.99061986,3,relation/7656706,Q644677,"religion,mosques,interesting_places","{'lon': 28.9571590423584, 'lat': 41.013832092285156}",Fatih / Valens Aqueduct
Q15961666,Ahmet Hamdi Tanpınar Literature Museum Library,358.22360813,3,,Q15961666,"museums,cultural,interesting_places,other_museums","{'lon': 28.978269577026367, 'lat': 41.01097869873047}",Hagia Sophia / Basilica Cistern
N3279398393,The Museum of Innocence,368.45564063,3,node/3279398393,Q15961492,"cultural,museums,interesting_places,other_museums","{'lon': 28.979787826538086, 'lat': 41.030906677246094}",Istiklal / Pera
N8699169212,Post Museum,368.9175791,3,node/8699169212,Q15228896,"cultural,museums,interesting_places,other_museums","{'lon': 28.973899841308594, 'lat': 41.01471710205078}",Eminonu / Spice Bazaar
N5243953336,Yavuz Sultan Selim Mosque,369.78253581,3,node/5243953336,Q2565329,"religion,mosques,interesting_places","{'lon': 28.951000213623047, 'lat': 41.026519775390625}",Balat / Fener
W329234516,Hirami Ahmet Pasha Mosque (St. John in Trullo),371.08945635,3,way/329234516,Q1572506,"religion,mosques,churches,interesting_places,other_churches","{'lon': 28.94590950012207, 'lat': 41.02798843383789}",Balat / Fener
R7328115,Yavuz Sultan Selim Mosque,371.26424851,3,relation/7328115,Q2565329,"religion,mosques,interesting_places","{'lon': 28.95145606994629, 'lat': 41.026634216308594}",Balat / Fener
W746788646,Aşiyan Museum,375.73349029,3,way/746788646,Q4833521,"biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums","{'lon': 29.053451538085938, 'lat': 41.08265686035156}",Rumeli Hisari
N2676941386,Cankurtaran,377.38646721,3,node/2676941386,Q5032507,"industrial_facilities,abandoned_railway_stations,interesting_places","{'lon': 28.982709884643555, 'lat': 41.00535202026367}",Hagia Sophia / Basilica Cistern
N6373152087,Ibrahim Pasha Palace,379.08771912,3,node/6373152087,Q1655940,"palaces,architecture,historic_architecture,fortifications,historic,interesting_places,castles","{'lon': 28.972335815429688, 'lat': 41.005863189697266}",Sultanahmet Core
N2771801929,Pasha,383.66394047,3,node/2771801929,Q1655940,"palaces,architecture,historic_architecture,interesting_places,restaurants,foods,tourist_facilities","{'lon': 28.974315643310547, 'lat': 41.008296966552734}",Sultanahmet Core
W333931792,Rum Mehmed Pasha Mosque,389.80283732,3,way/333931792,Q1572444,"religion,mosques,interesting_places","{'lon': 29.010826110839844, 'lat': 41.02463912963867}",Uskudar Waterfront
W639302102,Beyazıt Tower,391.37475986,3,way/639302102,Q853029,"architecture,towers,interesting_places,other_towers","{'lon': 28.964927673339844, 'lat': 41.012779235839844}",Suleymaniye
N269706604,Ertuğrul Tekke mosque,392.49342879,3,node/269706604,Q1137517,"religion,mosques,interesting_places","{'lon': 29.008522033691406, 'lat': 41.045650482177734}",Yildiz Palace
R4567928,Sokullu Mehmed Pasa Mosque,395.07616941,3,relation/4567928,Q1572472,"religion,mosques,interesting_places","{'lon': 28.97216033935547, 'lat': 41.00484848022461}",Sultanahmet Core
W491935728,Süreyya Opera House,395.79341829,3,way/491935728,Q551616,"cultural,cinemas,theatres_and_entertainments,interesting_places,opera_houses","{'lon': 29.02902603149414, 'lat': 40.98799514770508}",Kadikoy Historic Center
N6373152086,Cistern of Aspar,397.71663247,3,node/6373152086,Q6076508,"historic,archaeology,interesting_places,other_archaeological_sites","{'lon': 28.950153350830078, 'lat': 41.0261344909668}",Balat / Fener
N4695996389,Column of the Goths,402.06701135,3,node/4695996389,Q2887370,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments","{'lon': 28.98567771911621, 'lat': 41.01464080810547}",Topkapi Palace
