canonical_poi_id,canonical_name,family_name,category_clean,lat,lon,cluster_id,importance_score,member_count,member_poi_ids,source_names,group_method,wiki_title,wiki_match_type,wiki_match_quality,besttime_supported,notes
cp_151790453,Haseki Hürrem Hammam,Haseki Hürrem Hammam,attraction,41.0069452,28.9788591,12,0.7581456549893157,1,151790453,Haseki Hürrem Hammam,single_seed,,,,,
cp_13385771382,Sultan Abdulaziz Han kabri,Sultan Abdulaziz Han kabri,historic,41.008552,28.9725794,12,0.7578610436970555,1,13385771382,Sultan Abdulaziz Han kabri,single_seed,,,,,
cp_5113620695,Museum of The History of Science and Technology in Islam,Museum of The History of Science and Technology in Islam,museum,41.0132188,28.9789678,12,0.7563119477270756,1,5113620695,Museum of The History of Science and Technology in Islam,single_seed,,,,,
cp_103339339,Tiled Kiosk,Tiled Kiosk,museum,41.0120223,28.9812383,12,0.7521652419571724,1,103339339,Tiled Kiosk,single_seed,,,,,
cp_175523076,National Palaces Painting Museum;Painting Museum,National Palaces Painting Museum;Painting Museum,museum,41.0396619,29.0027225,12,0.7465348215489771,1,175523076,National Palaces Painting Museum;Painting Museum,single_seed,,,,,
cp_263949137,Dolmabahce Palace,Dolmabahce Palace,museum,41.0397895,29.0015991,12,0.7443358151610736,1,263949137,Dolmabahce Palace,single_seed,,,,,
cp_914394417,Clock Museum,Clock Museum,museum,41.0404788,29.0004493,12,0.7442553795490467,1,914394417,Clock Museum,single_seed,,,,,
cp_263949162,Dolmabahce Palace,Dolmabahce Palace,museum,41.0391296,29.0005456,12,0.7410476197863717,1,263949162,Dolmabahce Palace,single_seed,,,,,
cp_335402651,Imperial Mint,Imperial Mint,attraction,41.0104187,28.9803838,12,0.7392074976874566,1,335402651,Imperial Mint,single_seed,,,,,
cp_175516451,Dolmabahce Palace,Dolmabahce Palace,museum,41.0387836,28.9995191,12,0.737641460823832,1,175516451,Dolmabahce Palace,single_seed,,,,,
cp_1184851395,Bucoleon Palace Ruins,Bucoleon Palace Ruins,historic,41.0024553,28.9760876,12,0.7364798790603897,1,1184851395,Bucoleon Palace Ruins,single_seed,,,,,
cp_5108838368,Paşa Kapısı,Paşa Kapısı,attraction,41.0111434,28.9779823,12,0.7354163109964827,1,5108838368,Paşa Kapısı,single_seed,,,,,
cp_6180706492,Palace Collections Museum,Palace Collections Museum,museum,41.04121,29.004119,12,0.7347501098898078,1,6180706492,Palace Collections Museum,single_seed,,,,,
cp_335364925,Imperial Gate,Imperial Gate,historic,41.0085967,28.981487,12,0.7329518756199614,1,335364925,Imperial Gate,single_seed,,,,,
cp_335402649,Gate of Salutation,Gate of Salutation,historic,41.0114028,28.9832355,12,0.7319443322385596,1,335402649,Gate of Salutation,single_seed,,,,,
cp_3281285898,Atatürk,Atatürk,historic,41.0044513,28.9733107,12,0.7317374476432082,1,3281285898,Atatürk,single_seed,,,,,
cp_4721808990,Grand Bazaar,Grand Bazaar,museum,41.0101095,28.969963,12,0.7300729005006088,1,4721808990,Grand Bazaar,single_seed,,,,,
cp_111862615,Vezir Hanı,Vezir Hanı,museum,41.0092573,28.9720052,12,0.7298805790426722,1,111862615,Vezir Hanı,single_seed,,,,,
cp_1271934199,Dolmabahçe Sarayı Saltanat Kapı,Dolmabahçe Sarayı Saltanat Kapı,historic,41.0390793,28.998473,12,0.7286787517548909,1,1271934199,Dolmabahçe Sarayı Saltanat Kapı,single_seed,,,,,
cp_13084855510,Dolmabahçe Sarayı Deniz Kapısı,Dolmabahçe Sarayı Deniz Kapısı,historic,41.0387281,29.000731,12,0.7284865118906544,1,13084855510,Dolmabahçe Sarayı Deniz Kapısı,single_seed,,,,,
cp_32396432,Sultan Ahmed III Fountain,Sultan Ahmed III Fountain,attraction,41.0082486,28.9812612,12,0.7283870411993926,1,32396432,Sultan Ahmed III Fountain,single_seed,,,,,
cp_103907772,Imperial Council Hall,Imperial Council Hall,historic,41.0124903,28.9834925,12,0.7242256908054279,1,103907772,Imperial Council Hall,single_seed,,,,,
cp_3281285899,Mithat Paşa,Mithat Paşa,historic,41.0042194,28.9733768,12,0.7206554939357813,1,3281285899,Mithat Paşa,single_seed,,,,,
cp_4743322,Imperial Harem,Imperial Harem,historic,41.0130721,28.9832643,12,0.720411605205976,1,4743322,Imperial Harem,single_seed,,,,,
cp_329063100,Tomb of Sinan Pasha,Tomb of Sinan Pasha,historic,41.0088174,28.9687309,12,0.7169761839515824,1,329063100,Tomb of Sinan Pasha,single_seed,,,,,
cp_663391267,Çemberlitaş Hammam,Çemberlitaş Hammam,attraction,41.0085416,28.9716244,12,0.7161590038471818,1,663391267,Çemberlitaş Hammam,single_seed,,,,,
cp_111002508,Gazi Atik Ali Paşa Camii,Gazi Atik Ali Paşa Camii,historic,41.0087421,28.9705447,12,0.715883033994211,1,111002508,Gazi Atik Ali Paşa Camii,single_seed,,,,,
