poi_id,otm_xid,name,display_name_en,kinds,category_clean,wikidata,wikipedia_url,lat,lon,query_area,dist_from_query_center_m,rate,address_raw,preview_image,source,needs_review,candidate_count_same_key,wiki_title,wiki_match_method,wiki_match_score,wiki_has_page,wiki_pageviews_total,wiki_pageviews_avg,wiki_pageviews_max,wiki_days_observed,wiki_popularity_score,display_name_model,drop_reason,model_keep
otm_W822870615,W822870615,New Mosque Square,New Mosque Square,"religion,mosques,interesting_places",religious,Q911720,,41.01670455932617,28.97157859802246,Eminonu / Spice Bazaar,118.22234564,3,,,opentripmap,0,2,Namazgah Mosque,search,0.25,1,24637.0,67.4986301369863,1599.0,365,0.0152337999046534,New Mosque Square,square,False
otm_W48971970,W48971970,Serencebey Parkı,Serencebey Parkı,"gardens_and_parks,cultural,urban_environment,interesting_places",attraction,Q31190974,,41.048614501953125,29.00879669189453,Yildiz Palace,618.77168072,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0,Serencebey Parkı,park,False
otm_Q105702718,Q105702718,Sineperver Valide Sultan Fountain,Sineperver Valide Sultan Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q105702718,,41.02311325073242,28.941251754760746,Balat / Fener,1019.85558304,3,,,opentripmap,0,1,Sineperver Sultan,search,0.5,1,10403.0,28.5013698630137,52.0,365,0.0064324885500714,Sineperver Valide Sultan Fountain,generic_fountain,False
otm_W4471925,W4471925,Taksim Gezi Park,Taksim Gezi Park,"urban_environment,gardens_and_parks,cultural,interesting_places",attraction,Q6048634,,41.03883361816406,28.987030029296875,Dolmabahce,1150.09920618,3,,,opentripmap,0,1,Gezi Park,search,0.6666666666666666,1,9165.0,25.10958904109589,305.0,365,0.0056669958244164,Taksim Gezi Park,park,False
otm_Q4450209,Q4450209,Taksim Stadium,Taksim Stadium,"sport,architecture,historic_architecture,interesting_places,destroyed_objects,stadiums",historic,Q4450209,,41.03845977783203,28.986818313598633,Dolmabahce,1170.17605296,3,,,opentripmap,0,1,Taksim Stadium,search,1.0,1,5661.0,15.509589041095891,155.0,365,0.003500366978944,Taksim Stadium,stadium,False
otm_W132052542,W132052542,Tophane Fountain,Tophane Fountain,"fountains,cultural,urban_environment,interesting_places",attraction,Q6077177,,41.026763916015625,28.981277465820312,Galata Tower,590.43249911,3,,,opentripmap,0,2,Tophane Fountain,search,1.0,1,1628.0,4.46027397260274,15.0,365,0.0010066414841407,Tophane Fountain,generic_fountain,False
otm_N5113609520,N5113609520,Vefa Stadium,Vefa Stadium,"sport,historic,archaeology,interesting_places,other_archaeological_sites,stadiums",historic,Q17989029,,41.02785873413086,28.939119338989254,Balat / Fener,913.00528843,3,,,opentripmap,0,1,Vefa Stadium,search,1.0,1,3346.0,9.167123287671233,82.0,365,0.0020689326817782,Vefa Stadium,stadium,False
otm_R6554433,R6554433,Vodafone Park,Vodafone Park,"sport,cultural,museums,interesting_places,other_museums,stadiums",museum,Q14914703,,41.03944396972656,28.995269775390625,Dolmabahce,457.34702427,3,,,opentripmap,0,1,Vodafone Idea,search,0.3333333333333333,1,185553.0,508.3643835616438,1568.0,365,0.1147330143161979,Vodafone Park,park,False
otm_R6606776,R6606776,Yıldız Park,Yıldız Park,"urban_environment,gardens_and_parks,cultural,interesting_places",attraction,Q1818005,,41.048282623291016,29.015438079833984,Yildiz Palace,555.71498273,3,,,opentripmap,0,1,Yıldız Park,search,1.0,1,4149.0,11.367123287671232,39.0,365,0.002565451792199,Yıldız Park,park,False
otm_Q6048639,Q6048639,Şehzade Numan fountain,Şehzade Numan fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q6048639,,41.02135467529297,29.018665313720703,Uskudar Waterfront,573.2735613,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0,Şehzade Numan fountain,generic_fountain,False
otm_W24805102,W24805102,Abbasağa park,Abbasağa park,"urban_environment,gardens_and_parks,cultural,interesting_places",attraction,Q38186707,,41.04656219482422,29.006166458129883,Yildiz Palace,614.61583199,2,,,opentripmap,0,1,Gezi Park protests,search,0.25,1,0.0,0.0,0.0,0,0.0,Abbasağa park,park,False
otm_W235253300,W235253300,Hagia Triada Greek Orthodox Church,Hagia Triada Greek Orthodox Church,"religion,other_temples,gardens_and_parks,cultural,urban_environment,interesting_places",religious,,,40.9861946105957,29.027517318725582,Kadikoy Historic Center,532.68853062,2,,,opentripmap,1,1,"Hagia Triada Church, Istanbul",search,0.5,1,39244.0,107.51780821917808,13376.0,365,0.0242657484051719,Hagia Triada Greek Orthodox Church,parks_and_gardens,False
otm_Q6052827,Q6052827,Sultan III. Mustafa Fountain,Sultan III. Mustafa Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q6052827,,41.02462387084961,29.009090423583984,Uskudar Waterfront,530.2011187,2,,,opentripmap,0,1,Beyhan Sultan (daughter of Mustafa III),search,0.5,1,0.0,0.0,0.0,0,0.0,Sultan III. Mustafa Fountain,generic_fountain,False
otm_N6939603515,N6939603515,Tomb of Mimar Sinan,Tomb of Mimar Sinan,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,restaurants,foods,monuments,tourist_facilities",historic,Q85817770,,41.01583480834961,28.96277618408203,Suleymaniye,95.13351206,2,,,opentripmap,0,2,Mimar Sinan,search,0.6666666666666666,1,0.0,0.0,0.0,0,0.0,Tomb of Mimar Sinan,food_or_nightlife_contamination,False
otm_Q8082488,Q8082488,Şeref Stadium,Şeref Stadium,"sport,architecture,historic_architecture,interesting_places,destroyed_objects,stadiums",historic,Q8082488,,41.044166564941406,29.01704788208008,Yildiz Palace,384.48914844,2,,,opentripmap,0,1,Şeref Stadium,search,1.0,1,1324.0,3.657458563535912,37.0,362,0.0008186691185518,Şeref Stadium,stadium,False
otm_Q4400516,Q4400516,Русская посольская церковь (Константинополь),Русская посольская церковь (Константинополь),"religion,churches,interesting_places,other_churches",religious,Q4400516,,41.03004455566406,28.976205825805664,Istiklal / Pera,451.29975201,2,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0,Русская посольская церковь (Константинополь),non_latin_without_wiki,False
otm_Q20401780,Q20401780,متحف تشورا,متحف تشورا,"museums,cultural,interesting_places,other_museums",museum,Q20401780,,41.03111267089844,28.93916702270508,Balat / Fener,899.54185679,2,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0,متحف تشورا,non_latin_without_wiki,False
