poi_id,canonical_poi_id,canonical_name,family_name,category_clean,cluster_id,importance_score,member_role,group_method,canonical_seed_name
335364925,cp_335364925,Imperial Gate,Imperial Gate,historic,12,0.7329518756199614,primary,single_seed,Imperial Gate
335402649,cp_335402649,Gate of Salutation,Gate of Salutation,historic,12,0.7319443322385596,primary,single_seed,Gate of Salutation
3281285898,cp_3281285898,Atatürk,Atatürk,historic,12,0.7317374476432082,primary,single_seed,Atatürk
4721808990,cp_4721808990,Grand Bazaar,Grand Bazaar,museum,12,0.7300729005006088,primary,single_seed,Grand Bazaar
111862615,cp_111862615,Vezir Hanı,Vezir Hanı,museum,12,0.7298805790426722,primary,single_seed,Vezir Hanı
1271934199,cp_1271934199,Dolmabahçe Sarayı Saltanat Kapı,Dolmabahçe Sarayı Saltanat Kapı,historic,12,0.7286787517548909,primary,single_seed,Dolmabahçe Sarayı Saltanat Kapı
13084855510,cp_13084855510,Dolmabahçe Sarayı Deniz Kapısı,Dolmabahçe Sarayı Deniz Kapısı,historic,12,0.7284865118906544,primary,single_seed,Dolmabahçe Sarayı Deniz Kapısı
32396432,cp_32396432,Sultan Ahmed III Fountain,Sultan Ahmed III Fountain,attraction,12,0.7283870411993926,primary,single_seed,Sultan Ahmed III Fountain
103907772,cp_103907772,Imperial Council Hall,Imperial Council Hall,historic,12,0.7242256908054279,primary,single_seed,Imperial Council Hall
3281285899,cp_3281285899,Mithat Paşa,Mithat Paşa,historic,12,0.7206554939357813,primary,single_seed,Mithat Paşa
4743322,cp_4743322,Imperial Harem,Imperial Harem,historic,12,0.720411605205976,primary,single_seed,Imperial Harem
329063100,cp_329063100,Tomb of Sinan Pasha,Tomb of Sinan Pasha,historic,12,0.7169761839515824,primary,single_seed,Tomb of Sinan Pasha
663391267,cp_663391267,Çemberlitaş Hammam,Çemberlitaş Hammam,attraction,12,0.7161590038471818,primary,single_seed,Çemberlitaş Hammam
111002508,cp_111002508,Gazi Atik Ali Paşa Camii,Gazi Atik Ali Paşa Camii,historic,12,0.715883033994211,primary,single_seed,Gazi Atik Ali Paşa Camii
5244807883,cp_5244807883,Yahya Kemal Museum,Yahya Kemal Museum,museum,12,0.7146092979466501,primary,single_seed,Yahya Kemal Museum
586013144,cp_586013144,Domabahçe Sarayı Mefruşat Dairesi,Domabahçe Sarayı Mefruşat Dairesi,historic,12,0.7143494095438884,primary,single_seed,Domabahçe Sarayı Mefruşat Dairesi
11813287018,cp_11813287018,Sohum Kalesi Kitâbesi,Sohum Kalesi Kitâbesi,historic,12,0.7131131374033745,primary,single_seed,Sohum Kalesi Kitâbesi
5478162925,cp_5478162925,Sarayburnu Atatürk Monument,Sarayburnu Atatürk Monument,historic,12,0.7128245704924515,primary,single_seed,Sarayburnu Atatürk Monument
5244805876,cp_5244805876,Pera Spa,Pera Spa,attraction,12,0.7126906286066466,primary,single_seed,Pera Spa
1153684927,cp_1153684927,Column of Constantine,Column of Constantine,attraction,12,0.7123782383664277,primary,single_seed,Column of Constantine
1488385517,cp_1488385517,Sarayburnu Arkeopark,Sarayburnu Arkeopark,historic,12,0.7114292675061363,primary,single_seed,Sarayburnu Arkeopark
330344403,cp_330344403,İshakpaşa Hammam,İshakpaşa Hammam,historic,12,0.710768405013746,primary,single_seed,İshakpaşa Hammam
1900616737,cp_1900616737,Ancient Hippodrome Substructure,Ancient Hippodrome Substructure,historic,12,0.70959000807894,primary,single_seed,Ancient Hippodrome Substructure
9393008312,cp_9393008312,Cistern Nakkas,Cistern Nakkas,attraction,12,0.7089472486292503,primary,single_seed,Cistern Nakkas
103907804,cp_103907804,Has Oda Koğuşu,Has Oda Koğuşu,historic,12,0.7054518216883723,primary,single_seed,Has Oda Koğuşu
303807317,cp_303807317,Grand Bazaar,Grand Bazaar,attraction,12,0.7047920305094901,primary,single_seed,Grand Bazaar
263956600,cp_263956600,Dolmabahçe Sarayı Hazine-i Hassa Dairesi,Dolmabahçe Sarayı Hazine-i Hassa Dairesi,historic,12,0.7035369557659662,primary,single_seed,Dolmabahçe Sarayı Hazine-i Hassa Dairesi
1377852887,cp_1377852887,Cankurtaran Mescidi,Cankurtaran Mescidi,historic,12,0.7029805333333065,primary,single_seed,Cankurtaran Mescidi
110313596,cp_110313596,Şehzade Mehmet Kervansarayı,Şehzade Mehmet Kervansarayı,historic,12,0.7028605861821408,primary,single_seed,Şehzade Mehmet Kervansarayı
5244807872,cp_5244807872,Karababa Türbesi,Karababa Türbesi,historic,12,0.7024260330596697,primary,single_seed,Karababa Türbesi
32396111,cp_32396111,Gate of Felicity,Gate of Felicity,historic,12,0.7019385031028059,primary,single_seed,Gate of Felicity
103907818,cp_103907818,Audience Chamber,Audience Chamber,historic,12,0.7018679427006379,primary,single_seed,Audience Chamber
32396231,cp_32396231,Library of Ahmed III,Library of Ahmed III,historic,12,0.7017871550030382,primary,single_seed,Library of Ahmed III
5108828680,cp_5108828680,İstanbul Railway Museum,İstanbul Railway Museum,museum,12,0.7003234796326764,primary,single_seed,İstanbul Railway Museum
175517661,cp_175517661,Mahmut Paşa Camii,Mahmut Paşa Camii,attraction,12,0.7001537174702,primary,single_seed,Mahmut Paşa Camii
1423624915,cp_1423624915,Dolmabahçe Sarayı Hazine Kapısı,Dolmabahçe Sarayı Hazine Kapısı,historic,12,0.6998066330798159,primary,single_seed,Dolmabahçe Sarayı Hazine Kapısı
3386270532,cp_3386270532,Galatasaray Museum,Galatasaray Museum,museum,12,0.6995585914852167,primary,single_seed,Galatasaray Museum
165718178,cp_165718178,Galata Dervish House Museum,Galata Dervish House Museum,museum,12,0.6988050873461953,primary,single_seed,Galata Dervish House Museum
3811143694,cp_3811143694,Stucco Museum,Stucco Museum,museum,12,0.6982316747976496,primary,single_seed,Stucco Museum
969327995,cp_969327995,Yerevan Kiosk,Yerevan Kiosk,historic,12,0.6978588286277544,primary,single_seed,Yerevan Kiosk
9206305917,cp_9206305917,Beyazit Kulesi,Beyazit Kulesi,historic,12,0.6976158241870705,primary,single_seed,Beyazit Kulesi
5108828006,cp_5108828006,Lions Rug and kilims Art Gallery,Lions Rug and kilims Art Gallery,museum,12,0.6968946024087085,primary,single_seed,Lions Rug and kilims Art Gallery
499944905,cp_499944905,Atik Ali Paşa Medresesi,Atik Ali Paşa Medresesi,historic,12,0.6945780725228948,primary,auto_grouped,Atik Ali Paşa Medresesi
5108836360,cp_5108836360,Sultan Spa and Wellness Center,Sultan Spa and Wellness Center,attraction,12,0.6944645467474884,primary,single_seed,Sultan Spa and Wellness Center
247442912,cp_247442912,Masumiyet Müzesi,Masumiyet Müzesi,museum,12,0.6940323660602588,primary,auto_grouped,Masumiyet Müzesi
3279398393,cp_247442912,Masumiyet Müzesi,Masumiyet Müzesi,museum,12,0.6940253995863866,member,auto_grouped,The Museum of Innocence
2996272,cp_2996272,Agavat Dairesi (Deniz Müzesi K. Tarih Arşivi),Agavat Dairesi (Deniz Müzesi K. Tarih Arşivi),historic,12,0.6937651765556849,primary,single_seed,Agavat Dairesi (Deniz Müzesi K. Tarih Arşivi)
8699169212,cp_8699169212,Post Museum,Post Museum,museum,12,0.6928778912029718,primary,single_seed,Post Museum
