poi_id,name,name_en,category,category_clean,lat,lon,distance_to_center_km,nearby_count_500m,cluster_id,category_score,landmark_name_score,centrality_score,density_score,importance_score,is_park,is_historic,is_museum,is_attraction,is_religious,match_name,wiki_matched,wiki_title,wiki_pageid,wiki_pageviews_total,wiki_pageviews_avg,wiki_pageviews_max,wiki_popularity_score,importance_with_wiki
13385771384,II. Abdülhamid Türbesi,,historic:tomb,historic,41.0086349,28.972596,0.4894044845737539,54,12,0.82,0.35,0.9944456087046896,0.7941176470588235,0.7953630943761127,0,1,0,0,1,II. Abdülhamid Türbesi,False,,,,,,0.0,0.5567541660632789
335374188,İstanbul Arkeoloji Müzeleri,,tourism:museum,museum,41.0116941,28.9812131,0.4546072584263343,51,12,0.85,0.35,0.9948673436554396,0.75,0.7934602030966318,0,0,1,0,0,İstanbul Arkeoloji Müzeleri,False,,,,,,0.0,0.5554221421676422
319020883,İstanbul Arkeoloji Müzesi,Istanbul Archaeological Museum,tourism:museum,museum,41.0116433,28.9813725,0.4569499231556182,51,12,0.85,0.35,0.9948389510591436,0.75,0.7934516853177431,0,0,1,0,0,Istanbul Archaeological Museum,False,,,,,,0.0,0.5554161797224202
5244801844,İstanbul Cumhuriyet Eğitim Müzesi,,tourism:museum,museum,41.0049596,28.9739331,0.5199246389371006,51,12,0.85,0.35,0.9940757109506912,0.75,0.7932227132852074,0,0,1,0,0,İstanbul Cumhuriyet Eğitim Müzesi,False,,,,,,0.0,0.5552558992996451
5244807623,Türkiye Gazeteciler Cemiyeti Basın Müzesi,TGC Press Media Museum,tourism:museum,museum,41.0085619,28.9722162,0.5204365771827077,51,12,0.85,0.35,0.9940695063684672,0.75,0.7932208519105401,0,0,1,0,0,TGC Press Media Museum,True,TGC Press Media Museum,44436562.0,1806.0,1.243801652892562,21.0,0.0002830598623787654,0.5553395142960917
109874498,Alman Çeşmesi,German Fountain,tourism:attraction,attraction,41.0071134,28.9766752,0.1885335081445425,66,12,0.78,0.1,0.9980921006948528,0.9705882352941176,0.7910746890319853,0,0,0,1,0,German Fountain,True,German Fountain,7017612.0,35376.0,24.213552361396303,72.0,0.005510432296965196,0.5554054120114793
103339340,Eski Şark Eserleri Müzesi,Museum Of Ancient Orient,tourism:museum,museum,41.011393,28.9804023,0.3927903775121708,50,12,0.85,0.35,0.9956165510525292,0.7352941176470589,0.7900084947275234,0,0,1,0,0,Museum Of Ancient Orient,True,Museum of the Ancient Orient,63601842.0,16501.0,11.294318959616701,31.0,0.002570320085148765,0.553777042334811
4742207,Marmara Üniversitesi Cumhuriyet Müzesi,Marmara University Republic Museum,tourism:museum,museum,41.0048417,28.97413,0.5175212864968767,50,12,0.85,0.35,0.9941048390690854,0.7352941176470589,0.7895549811324903,0,0,1,0,0,Marmara University Republic Museum,False,,,,,,0.0,0.5526884867927432
13702456359,Fulham Park Cistern,,tourism:attraction,attraction,41.0137644,28.9817985,0.6812817126277358,46,12,0.78,0.5900000000000001,0.9921200976716964,0.6764705882352942,0.7892536763603326,0,0,0,1,0,Fulham Park Cistern,False,,,,,,0.0,0.5524775734522328
1120852417,Theodosius Dikilitaşı,Obelisk of Theodosius,historic:monument,historic,41.0059276,28.9754001,0.3566683423378241,62,12,0.82,0.1,0.9960543424058028,0.9117647058823528,0.787757479192329,0,1,0,0,0,Obelisk of Theodosius,True,Obelisk of Theodosius,18890896.0,208162.0,142.47912388774813,8035.0,0.03242488149595402,0.5611576998834165
