poi_id,otm_xid,name,display_name_en,kinds,category_clean,wikidata,wikipedia_url,lat,lon,query_area,dist_from_query_center_m,rate,address_raw,preview_image,source,needs_review,candidate_count_same_key,wiki_title,wiki_match_method,wiki_match_score,wiki_has_page,wiki_pageviews_total,wiki_pageviews_avg,wiki_pageviews_max,wiki_days_observed,wiki_popularity_score
otm_W319020883,W319020883,Istanbul Archaeology Museums,Istanbul Archaeology Museums,"national_museums,archaeological_museums,cultural,museums,interesting_places,history_museums",museum,Q636978,,41.01164627075195,28.98172950744629,Topkapi Palace,133.08462291,3,,,opentripmap,0,2,Istanbul Archaeology Museums,search,1.0,1,26421.0,72.38630136986302,168.0,365,0.016336900892188574
otm_W32394781,W32394781,Istanbul City Wall,Istanbul City Wall,"fortifications,defensive_walls,historic,interesting_places",historic,Q89917,,41.03675079345703,28.939353942871097,Eyup / Pierre Loti,1368.81602765,3,,,opentripmap,0,2,Istanbul,search,0.3333333333333333,1,1617259.0,4430.846575342466,13915.0,365,1.0
otm_N5113620695,N5113620695,Istanbul Museum of the History of Science and Technology in Islam,Istanbul Museum of the History of Science and Technology in Islam,"cultural,museums,interesting_places,museums_of_science_and_technology,other_technology_museums",museum,Q16850295,,41.01304244995117,28.978940963745117,Topkapi Palace,404.63476424,3,,,opentripmap,0,3,Istanbul Museum of the History of Science and Technology in Islam,search,1.0,1,2079.0,5.695890410958904,44.0,365,0.001285508381774348
otm_Q6447963,Q6447963,Istanbul Painting and Sculpture Museum,Istanbul Painting and Sculpture Museum,"museums,cultural,interesting_places,art_galleries",museum,Q6447963,,41.038612365722656,28.99888801574707,Dolmabahce,165.73712667,3,,,opentripmap,0,1,Istanbul Museum of Painting and Sculpture,search,1.0,1,2035.0,5.575342465753424,22.0,365,0.001258301855175949
otm_N5108828680,N5108828680,Istanbul Railway Museum,Istanbul Railway Museum,"cultural,museums,interesting_places,museums_of_science_and_technology,railway_museums",museum,Q15228897,,41.0152702331543,28.977020263671875,Eminonu / Spice Bazaar,589.76766326,3,,,opentripmap,0,1,Istanbul Railway Museum,search,1.0,1,1877.0,5.156593406593407,28.0,364,0.0011606056914816984
otm_R4473230,R4473230,Istanbul Taksim Square,Istanbul Taksim Square,"squares,interesting_places,cultural,urban_environment",attraction,Q736072,,41.03795623779297,28.98520278930664,Dolmabahce,1310.35402417,3,,,opentripmap,0,1,Taksim Square,search,0.6666666666666666,1,53637.0,146.95068493150686,341.0,365,0.033165374253598216
otm_N6271794608,N6271794608,Italian Synagogue,Italian Synagogue,"religion,synagogues,interesting_places",religious,Q2574448,,41.02542495727539,28.972545623779297,Galata Tower,158.93273509,3,,,opentripmap,0,1,Italian Synagogue (Istanbul),search,0.6666666666666666,1,1351.0,3.7013698630136984,12.0,365,0.0008353640326008388
otm_W236166952,W236166952,Kadıköy (Metro İstanbul),Kadıköy (Metro İstanbul),"architecture,historic_architecture,interesting_places,other_buildings_and_structures",historic,Q18712376,,40.99065780639648,29.02216339111328,Kadikoy Historic Center,349.06145047,3,,,opentripmap,0,1,Kadıköy (Istanbul Metro),search,0.5,1,2158.0,5.912328767123288,20.0,365,0.0013343564636214731
otm_Q31190969,Q31190969,Kaptan İbrahim Ağa Camii,Kaptan İbrahim Ağa Camii,"religion,mosques,interesting_places",religious,Q31190969,,41.04288864135742,29.003000259399418,Dolmabahce,453.02125367,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
otm_Q6374536,Q6374536,"Kasim Aga Mosque, Istanbul","Kasim Aga Mosque, Istanbul","religion,mosques,interesting_places",religious,Q6374536,,41.02899932861328,28.93899917602539,Balat / Fener,903.19869023,3,,,opentripmap,0,1,"New Mosque, Istanbul",search,0.4,1,24753.0,67.81643835616438,132.0,365,0.01530552620204927
otm_N5113611502,N5113611502,Kefeli cami,Kefeli cami,"religion,mosques,interesting_places",religious,Q2565343,,41.02952194213867,28.94160842895508,Balat / Fener,680.83305549,3,,,opentripmap,0,1,Yağ Cami,search,0.5,1,714.0,1.9615384615384615,23.0,364,0.00044148772707401846
otm_W331194094,W331194094,Kemalpaşa Camii,Kemalpaşa Camii,"religion,mosques,interesting_places",religious,Q6028049,,41.01177215576172,28.95525550842285,Fatih / Valens Aqueduct,589.83977698,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
otm_Q1775929,Q1775929,Kloster Sanctus Angelus in Petra,Kloster Sanctus Angelus in Petra,"religion,monasteries,interesting_places",religious,Q1775929,,41.01972198486328,28.95722198486328,Fatih / Valens Aqueduct,308.35731938,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
otm_W498861770,W498861770,Küçük Mecidiye Mosque,Küçük Mecidiye Mosque,"religion,mosques,interesting_places",religious,Q2719794,,41.045379638671875,29.01690101623535,Yildiz Palace,409.46139996,3,,,opentripmap,0,1,Küçük Mecidiye Mosque,search,1.0,1,1319.0,3.6136986301369864,12.0,365,0.0008155774678020032
otm_W230687140,W230687140,Küçüksu Palace,Küçüksu Palace,"cultural,museums,interesting_places,other_museums",museum,Q1755906,,41.07839584350586,29.06487464904785,Rumeli Hisari,991.08516983,3,,,opentripmap,0,1,Küçüksu Pavilion,search,0.3333333333333333,1,7726.0,21.167123287671235,111.0,365,0.00477721873861886
otm_W165574748,W165574748,Kılıç Ali Pasha Complex,Kılıç Ali Pasha Complex,"religion,mosques,interesting_places",religious,Q862848,,41.02641677856445,28.9809627532959,Galata Tower,557.58165616,3,,,opentripmap,0,2,Kılıç Ali Pasha Complex,search,1.0,1,11890.0,32.57534246575342,76.0,365,0.007351945483067338
otm_R7328116,R7328116,Laleli Camii,Laleli Camii,"religion,mosques,interesting_places",religious,Q590900,,41.01008605957031,28.95666885375977,Fatih / Valens Aqueduct,767.95345739,3,,,opentripmap,0,1,Laleli Mosque,search,0.3333333333333333,1,6926.0,18.975342465753425,44.0,365,0.0042825546186479714
otm_W303179753,W303179753,Little Hagia Sophia,Little Hagia Sophia,"religion,mosques,churches,interesting_places,other_churches",religious,Q1144576,,41.00273132324219,28.972192764282227,Sultanahmet Core,487.9132611,3,,,opentripmap,0,1,Little Hagia Sophia,search,1.0,1,26806.0,73.44109589041096,136.0,365,0.016574957999924565
otm_Q6070291,Q6070291,Mahmutpaşa Camii,Mahmutpaşa Camii,"religion,mosques,interesting_places",religious,Q6070291,,41.0111198425293,28.971330642700195,Eminonu / Spice Bazaar,605.05411118,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
