xid,name,query_area,wikidata,wikipedia_url,candidate_count_same_key,kinds,review_decision,canonical_name,notes
N551453949,Beylerbeyi Mosque,Beylerbeyi Palace,Q6845681,,3,"religion,mosques,interesting_places",,,
N663391254,Tomb of Sultan II. Mahmud,Sultanahmet Core,Q4273774,,2,"historic,monuments_and_memorials,burial_places,interesting_places,mausoleums,monuments",,,
N5244807624,Mausoleum of Mahmud II,Sultanahmet Core,Q4273774,,2,"historic,monuments_and_memorials,burial_places,interesting_places,mausoleums,monuments",,,
N5113481394,Sultan Cistern,Balat / Fener,Q6076508,,3,"historic,archaeology,interesting_places,other_archaeological_sites,restaurants,foods,tourist_facilities",,,
N3580821812,Muzeum Adama Mickiewicza,Istiklal / Pera,Q4679495,,2,"biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums",,,
N3254468506,Adam Mickiewicz Museum,Istiklal / Pera,Q4679495,,2,"biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums",,,
W165574748,Kılıç Ali Pasha Complex,Galata Tower,Q862848,,2,"religion,mosques,interesting_places",,,
W499172507,Beylerbeyi Camii,Beylerbeyi Palace,Q6845681,,3,"religion,mosques,interesting_places",,,
W165574764,Kılıç Ali Pasha Complex,Galata Tower,Q862848,,2,"religion,mosques,historic,burial_places,interesting_places,other_burial_places",,,
N6185588853,Taksim Simit,Istiklal / Pera,Q31190329,,2,"religion,mosques,interesting_places",,,
W132052542,Tophane Fountain,Galata Tower,Q6077177,,2,"fountains,cultural,urban_environment,interesting_places",,,
W970169413,Tophane Fountain,Galata Tower,Q6077177,,2,"other,unclassified_objects,interesting_places,tourist_object",,,
W865322627,Taksim Camii,Istiklal / Pera,Q31190329,,2,"religion,mosques,interesting_places",,,
W237058770,Kadıköy Fransız Kilisesi,Kadikoy Historic Center,Q31188348,,2,"religion,churches,interesting_places,catholic_churches",,,
W235253304,Church of the Assumption,Kadikoy Historic Center,Q31188348,,2,"religion,churches,interesting_places,catholic_churches",,,
W316903985,Pertevniyal Valide Sultan Mosque,Fatih / Valens Aqueduct,Q2719785,,2,"religion,mosques,interesting_places",,,
N5081274335,Pertevniyal Valide Sultan Mosque,Fatih / Valens Aqueduct,Q2719785,,2,"religion,mosques,interesting_places",,,
N415068999,Anadoluhisarı,Rumeli Hisari,Q81650,,5,"fortifications,historic,cultural,museums,interesting_places,other_museums,other_fortifications",,,
W525436004,Anadoluhisarı,Rumeli Hisari,Q81650,,5,"fortifications,historic,cultural,museums,interesting_places,other_museums,other_fortifications",,,
W530509576,Palace of the Porphyrogenitus,Balat / Fener,Q1472490,,2,"palaces,architecture,historic_architecture,interesting_places,destroyed_objects",,,
N5112749749,Palace of the Porphyrogenitus,Balat / Fener,Q1472490,,2,"palaces,architecture,historic_architecture,interesting_places",,,
W403116669,Anatolian Castle,Rumeli Hisari,Q81650,,5,"fortifications,historic,cultural,museums,interesting_places,castles,other_museums",,,
N3597084430,Anadoluhisarı,Rumeli Hisari,Q81650,,5,"religion,other_temples,fortifications,historic,cultural,museums,interesting_places,other_museums,other_fortifications",,,
N8582643114,Anadoluhisarı,Rumeli Hisari,Q81650,,5,"fortifications,historic,cultural,museums,interesting_places,other_museums,other_fortifications",,,
R4429629,Walls of Constantinople,Balat / Fener,Q89917,,2,"architecture,historic_architecture,fortifications,defensive_walls,historic,interesting_places,destroyed_objects",,,
W237868337,Atik Valide Camii,Uskudar Waterfront,Q2483550,,2,"religion,mosques,interesting_places",,,
W333935175,Atik Valide Cami,Uskudar Waterfront,Q2483550,,2,"religion,mosques,interesting_places",,,
W32394781,Istanbul City Wall,Eyup / Pierre Loti,Q89917,,2,"fortifications,defensive_walls,historic,interesting_places",,,
N6939603515,Mirar Sinan,Suleymaniye,Q85817770,,2,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,restaurants,foods,monuments,tourist_facilities",,,
W308598205,Tomb of Mimar Sinan,Suleymaniye,Q85817770,,2,"cemeteries,historic,monuments_and_memorials,burial_places,interesting_places,monuments",,,
W335364925,Imperial Gate,Hagia Sophia / Basilica Cistern,Q6090328,,2,"fortifications,defensive_walls,historic,interesting_places",,,
W260976707,Türkiye İş Bankası Museum,Eminonu / Spice Bazaar,Q6053818,,4,"cultural,museums,interesting_places,other_museums",,,
N5111212295,Türkiye İş Bankası Museum,Eminonu / Spice Bazaar,Q6053818,,4,"cultural,museums,interesting_places,other_museums,banks,bank,tourist_facilities",,,
N5110345265,Türkiye İş Bankası Museum,Eminonu / Spice Bazaar,Q6053818,,4,"cultural,museums,interesting_places,other_museums,banks,bank,tourist_facilities",,,
N5110344551,Kepenekci sinan camii,Suleymaniye,Q106223671,,2,"religion,other_temples,interesting_places",,,
W330348666,Category:Kepenekçi Sinan Madrasa,Suleymaniye,Q106223671,,2,"religion,other_temples,interesting_places",,,
W165718178,Galata Dervish House Museum,Galata Tower,Q6090478,,2,"religion,other_temples,cultural,museums,interesting_places,other_museums",,,
N4481947389,Galata Mevlevi House Museum,Galata Tower,Q6090478,,2,"religion,other_temples,cultural,museums,interesting_places,other_museums",,,
N5110347247,Türkiye İş Bankası Museum,Eminonu / Spice Bazaar,Q6053818,,4,"cultural,museums,interesting_places,other_museums,banks,bank,tourist_facilities",,,
N8225587082,Feshane,Eyup / Pierre Loti,Q6059242,,2,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",,,
W240079129,Feshane,Eyup / Pierre Loti,Q6059242,,2,"architecture,historic_architecture,interesting_places,amusements,amusement_parks,other_buildings_and_structures",,,
