poi_id_1,name_1,name_en_1,category_1,poi_id_2,name_2,name_en_2,category_2,cluster_id,distance_km,root_overlap_score,same_category,importance_1,importance_2,group_decision,group_type,family_name,entity_name,notes
13385771381,IV. Mehmet Türbesi,Tomb of Mehmed the Hunter,historic,13385771383,V. Murat Türbesi,,historic,12,0.00946082940413684,0.5,1,0.6867526648720581,0.6867189612860543,,,,,
5783643263,Fransiz Gecidi,,attraction,6132230786,Fransız Geçidi,,attraction,12,0.013462064371438341,0.5,1,0.6160407778971839,0.6160004891525996,,,,,
329062194,Sultan 2. Mahmut Türbesi,Mausoleum of Sultan Mahmud II,historic,13385771384,II. Abdülhamid Türbesi,,historic,12,0.01708392517759629,0.5,1,0.7990432221724273,0.7953630943761127,,,,,
1620494633,Hatice Turhan Sultan Türbesi,Tomb of Hatice Turhan Sultan,historic,13385771383,V. Murat Türbesi,,historic,12,0.017289658401964576,0.5,1,0.6867309156333706,0.6867189612860543,,,,,
530624261,Yavuz Sultan Selim Türbesi,Tomb of Selim the Resolute,historic,1395835665,Haseki Hafsa Sultan Türbesi,,historic,12,0.019949245802005307,0.5,1,0.6538401204602468,0.6465353558167705,,,,,
23236783,Galata Kulesi,Galata Tower,attraction,708327981,Galata citywalls,,historic,12,0.023937104318326848,0.5,0,0.6791555268577218,0.6347668799982107,,,,,
329063100,Sinan Paşa Türbesi,Tomb of Sinan Pasha,historic,3374678647,Koca Sinan Paşa Külliyesi,,historic,12,0.027941207664123835,0.5,1,0.7169761839515824,0.6722247030540077,,,,,
530624261,Yavuz Sultan Selim Türbesi,Tomb of Selim the Resolute,historic,530624260,Ayşe Hafsa Sultan Türbesi,,historic,12,0.028343956428237668,0.5,1,0.6538401204602468,0.6465040075778425,,,,,
969327995,Revan Köşkü,Yerevan Kiosk,historic,32396296,Bağdad Köşkü,Baghdad Kiosk,historic,12,0.03675399250804878,0.5,1,0.6978588286277544,0.6904149314171952,,,,,
110017005,İstanbul Üniversitesi Kapı Köşkü,,historic,110016998,Seraskerlik Kapısı,,historic,12,0.04590351823058517,0.5,1,0.6339974378474112,0.6264977354558695,,,,,
