poi_id,name,category,lat,lon,category_clean
4889959130,Bomontiada,tourism:attraction,41.0583185,28.9808053,attraction
4889959132,Hasan Paşa Kulesi,historic:castle,41.2136997,29.107452,historic
4889959134,Selimiye Hamami,tourism:attraction,41.0103358,29.0166858,attraction
4889959431,ARTER,tourism:museum,41.0304385,28.9757547,museum
4889959432,AK Bank Sanat Galerisi,tourism:museum,41.0359382,28.9831097,museum
4889959434,Dogançay Müzesi,tourism:museum,41.0357703,28.9783705,museum
4889959435,Türvak Türker Inanoglu Vakfi,tourism:museum,41.0326418,28.9777224,museum
4895209121,Laleli,tourism:attraction,41.0086939,28.9557286,attraction
4920628724,Terrace Fulya,tourism:attraction,41.0074547,29.0435884,attraction
4966376521,Turkuazoo,tourism:attraction,41.0455958,28.896211,attraction
4977947521,Ayios Polieuktos Kilisesi,historic:ruins,41.0142319,28.9529591,historic
4990028128,Halı Müzesi,tourism:museum,41.0087318,28.9809561,museum
5001163522,M.K. Atatürk & Salvador Allende,historic:monument,40.9904492,29.1259111,historic
5052980822,فندقنا,tourism:attraction,41.0341556,28.9839572,attraction
5076114611,Altinkapi,tourism:attraction,40.9919043,28.9220657,attraction
5076115936,Imrahor ilyasbey mezarlığı,historic:cemetery,40.9962681,28.9281396,historic
5081442505,Şeyh Ahmet Buhara Türbesi,historic:tomb,41.0231601,28.9602598,historic
5081442512,Rezan Has Museum,tourism:museum,41.0252799,28.9584325,museum
5081445115,Seyyit Velayet Türbesi,historic:tomb,41.0238481,28.954732,historic
5081610966,Panayia Belgradu Kilisesi,historic:church,41.0001135,28.9219792,historic
5103810789,Hamidiye Kültür Ve Eğitim Vakfı Topkapı Nusret,tourism:museum,41.0196249,28.9277844,museum
5108828006,Lions Rug and kilims Art Gallery,tourism:museum,41.0128714,28.9778917,museum
5108828672,II. Abdülhamit Çeşmesi,tourism:attraction,41.0147801,28.9790412,attraction
5108828680,İstanbul Demiryolu Müzesi,tourism:museum,41.0151986,28.9766826,museum
5108836360,Sultan Spa and Wellness Center,tourism:attraction,41.0123762,28.977568,attraction
5108837436,Hodjapasta,tourism:museum,41.0142713,28.9756894,museum
5108837438,Tasciri Spettacolo,tourism:museum,41.0140444,28.9756133,museum
5108838368,Paşa Kapısı,tourism:attraction,41.0111434,28.9779823,attraction
5108843098,Cevri Kalfa Çeşmesi,tourism:attraction,41.0080019,28.9767691,attraction
