poi_id,name,name_en,category,category_clean,lat,lon,distance_to_center_km,nearby_count_500m,cluster_id,category_score,landmark_name_score,centrality_score,density_score,importance_score,is_park,is_historic,is_museum,is_attraction,is_religious
13702456359,Fulham Park Cistern,,tourism:attraction,attraction,41.0137644,28.9817985,0.6812817126277358,46,12,0.78,0.5900000000000001,0.9921200976716965,0.6764705882352942,0.7892536763603326,0,0,0,1,0
1120852417,Theodosius Dikilitaşı,Obelisk of Theodosius,historic:monument,historic,41.0059276,28.9754001,0.3566683423378241,62,12,0.82,0.1,0.9960543424058028,0.9117647058823529,0.787757479192329,0,1,0,0,0
1184924695,Yerebatan Sarnıcı,,historic:cistern,historic,41.0088628,28.9776419,0.09735568247632742,61,12,0.82,0.1,0.9991971564729992,0.8970588235294118,0.7850238528242527,0,1,0,0,0
5108843098,Cevri Kalfa Çeşmesi,,tourism:attraction,attraction,41.0080019,28.9767691,0.13860980020088026,64,12,0.78,0.1,0.9986971653750569,0.9411764705882353,0.7839032672595759,0,0,0,1,0
1154702450,Şerefiye Sarnıcı,Theodosia Cistern,tourism:museum,museum,41.0074148,28.9723954,0.511355246124009,58,12,0.85,0.1,0.9941795701617868,0.8529411764705882,0.781489165166183,0,0,1,0,0
1379168992,Katip Sinan Camii,,historic:ruins,historic,41.0059631,28.9707766,0.686343289539622,52,12,0.82,0.29,0.9920587524403092,0.7647058823529411,0.778294096320328,0,1,0,0,1
5108843109,Hacı Beşir Ağa Çeşmesi,,tourism:attraction,attraction,41.0082703,28.977987,0.03552532644035192,62,12,0.78,0.1,0.999946527185688,0.9117647058823529,0.7769251346262946,0,0,0,1,0
25512790,Sultanahmet Meydanı,Sultan Ahmed Square,tourism:attraction,attraction,41.0065205,28.9760528,0.27141782546450066,62,12,0.78,0.1,0.9970875604669971,0.9117647058823529,0.7760674446106873,0,0,0,1,0
1272157516,SARNIÇ CISTERN,,historic:ruins,historic,41.0120848,28.9838441,0.6286998713560744,40,12,0.82,0.55,0.9927573783602519,0.5882352941176471,0.7733860370374873,0,1,0,0,0
1120852418,Örme Dikilitaş,The Walled Obelisk,historic:monument,historic,41.0054052,28.9748422,0.430932393130965,58,12,0.82,0.1,0.99515427796759,0.8529411764705882,0.7727815775079241,0,1,0,0,0
1377906859,Üçler Mescidi,,historic:ruins,historic,41.0055263,28.9743308,0.4527448438750298,58,12,0.82,0.1,0.9948899157221252,0.8529411764705882,0.7727022688342846,0,1,0,0,0
11006008339,Yerebatan Sarnıcı,Basilica Cistern (Exit),tourism:attraction,attraction,41.0084795,28.9783826,0.03111330033475052,60,12,0.78,0.1,1.0,0.8823529411764706,0.7695882352941177,0,0,0,1,0
415157636,Yılanlı Sütun,Serpent Column,tourism:attraction,attraction,41.0056649,28.9751101,0.3945517681069771,60,12,0.78,0.1,0.9955952033746251,0.8823529411764706,0.7682667963065052,0,0,0,1,0
1555271,Ayasofya-i Kebir Câmi-i Şerifi,,tourism:museum,museum,41.0084634,28.9798633,0.12622951720305753,54,12,0.85,0.1,0.9988472117614624,0.7941176470588235,0.7681835752931446,0,0,1,0,0
32396096,Saray Mutfakları,Palace Kitchens,historic:building,historic,41.0116668,28.984489,0.6400267758861231,38,12,0.82,0.55,0.9926200986959507,0.5588235294117647,0.7659919119617264,0,1,0,0,0
303491953,Alay Köşkü,,tourism:museum,museum,41.0110425,28.978391,0.3160729177005624,53,12,0.85,0.1,0.9965463502841762,0.7794117647058824,0.7638168462617234,0,0,1,0,0
109738926,Sıbyan Mektebi,,historic:yes,historic,41.0080258,28.9790857,0.06070991428432623,55,12,0.82,0.1,0.9996412953586153,0.8088235294117647,0.7630982709605257,0,1,0,0,0
335415778,Topkapı Sarayı,Topkapı Palace,tourism:attraction,attraction,41.01281,28.9840154,0.6962533579366789,40,12,0.78,0.55,0.9919386445274067,0.5882352941176471,0.7611404168876338,0,0,0,1,0
151790453,Haseki Hürrem Hamamı,Haseki Hürrem Hammam,tourism:attraction,attraction,41.0069452,28.9788591,0.14474801412163954,57,12,0.78,0.1,0.9986227715330134,0.8382352941176471,0.7581456549893157,0,0,0,1,0
13385771382,Sultan Abdulaziz Han kabri,,historic:tomb,historic,41.008552,28.9725794,0.4899684876502703,54,12,0.82,0.1,0.9944387731078324,0.7941176470588235,0.7578610436970555,0,1,0,0,0
5113620695,İslam bilim ve teknoloji tarihi müzesi,Museum of The History of Science and Technology in Islam,tourism:museum,museum,41.0132188,28.9789678,0.5600957745445511,41,12,0.85,0.35,0.9935888453647619,0.6029411764705882,0.7563119477270756,0,0,1,0,0
103339339,Çinili Köşk,Tiled Kiosk,tourism:museum,museum,41.0120223,28.9812383,0.4871959929695964,50,12,0.85,0.1,0.9944723751513589,0.7352941176470589,0.7521652419571724,0,0,1,0,0
109862851,Ayasofya-i Kebir Câmi-i Şerifi,Hagia Sophia,tourism:attraction,attraction,41.0085112,28.9799976,0.13844780025654838,54,12,0.78,0.1,0.9986991287797907,0.7941176470588235,0.747139150398643,0,0,0,1,0
175523076,Milli Saraylar Resim Müzesi;Resim Müzesi,National Palaces Painting Museum;Painting Museum,tourism:museum,museum,41.0396619,29.0027225,4.049951230478401,32,12,0.85,0.5900000000000001,0.9512925424181591,0.47058823529411764,0.7465348215489771,0,0,1,0,0
263949137,Dolmabahçe Sarayı Harem Bölümü,Dolmabahce Palace,tourism:museum,museum,41.0397895,29.0015991,4.015703370820323,33,12,0.85,0.55,0.951707619164363,0.4852941176470588,0.7443358151610736,0,0,1,0,0
914394417,Dolmabahçe Sarayı İç Hazine Dairesi,Clock Museum,tourism:museum,museum,41.0404788,29.0004493,4.0378257660753345,33,12,0.85,0.55,0.951439500457607,0.4852941176470588,0.7442553795490467,0,0,1,0,0
263949162,Dolmabahçe Sarayı Muayede Salonu,Dolmabahce Palace,tourism:museum,museum,41.0391296,29.0005456,3.908915127092587,32,12,0.85,0.55,0.9530018698761408,0.47058823529411764,0.7410476197863717,0,0,1,0,0
335402651,Darphane-i Amire,Imperial Mint,tourism:attraction,attraction,41.0104187,28.9803838,0.29761219258255645,52,12,0.78,0.1,0.996770090330738,0.7647058823529411,0.7392074976874566,0,0,0,1,0
175516451,Dolmabahçe Sarayı Selamlık Bölümü,Dolmabahce Palace,tourism:museum,museum,41.0387836,28.9995191,3.8345706859305015,31,12,0.85,0.55,0.9539029086284595,0.45588235294117646,0.737641460823832,0,0,1,0,0
1184851395,Bukoleon Sarayı Kalıntıları,Bucoleon Palace Ruins,historic:archaeological_site,historic,41.0024553,28.9760876,0.667603773132156,30,12,0.82,0.55,0.9922858713777698,0.4411764705882353,0.7364798790603897,0,1,0,0,0
5108838368,Paşa Kapısı,,tourism:attraction,attraction,41.0111434,28.9779823,0.3291628316956472,51,12,0.78,0.1,0.9963877033216093,0.75,0.7354163109964827,0,0,0,1,0
6180706492,Saray Koleksiyonları Müzesi,Palace Collections Museum,tourism:museum,museum,41.04121,29.004119,4.257683134051385,29,12,0.85,0.5900000000000001,0.9487748761032812,0.4264705882352941,0.7347501098898078,0,0,1,0,0
335364925,Bâb-ı Hümâyûn,Imperial Gate,historic:city_gate,historic,41.0085967,28.981487,0.2627571028039567,47,12,0.82,0.1,0.9971925265763425,0.6911764705882353,0.7329518756199614,0,1,0,0,0
335402649,Bâbüsselâm,Gate of Salutation,historic:building,historic,41.0114028,28.9832355,0.5398641249090023,47,12,0.82,0.1,0.9938340486383358,0.6911764705882353,0.7319443322385596,0,1,0,0,0
3281285898,Atatürk,,historic:memorial,historic,41.0044513,28.9733107,0.596764080975812,47,12,0.82,0.1,0.9931444333204985,0.6911764705882353,0.7317374476432082,0,1,0,0,0
4721808990,Kapali Carsi,Grand Bazaar,tourism:museum,museum,41.0101095,28.969963,0.7390901085381428,32,12,0.85,0.4,0.9914194722569314,0.47058823529411764,0.7300729005006088,0,0,1,0,0
111862615,Vezir Hanı,,tourism:museum,museum,41.0092573,28.9720052,0.54930912936754,44,12,0.85,0.1,0.9937195772010644,0.6470588235294118,0.7298805790426722,0,0,1,0,0
1271934199,Dolmabahçe Sarayı Saltanat Kapı,,historic:building,historic,41.0390793,28.998473,3.8243144735946304,31,12,0.82,0.55,0.9540272117319892,0.45588235294117646,0.7286787517548909,0,1,0,0,0
13084855510,Dolmabahçe Sarayı Deniz Kapısı,,historic:city_gate,historic,41.0387281,29.000731,3.8771866548741527,31,12,0.82,0.55,0.953386412184534,0.45588235294117646,0.7284865118906544,0,1,0,0,0
32396432,III. Ahmet Çeşmesi,Sultan Ahmed III Fountain,tourism:attraction,attraction,41.0082486,28.9812612,0.24014273217802765,49,12,0.78,0.1,0.9974666079195439,0.7205882352941176,0.7283870411993926,0,0,0,1,0
103907772,Dîvân-ı Hümâyûn,Imperial Council Hall,historic:building,historic,41.0124903,28.9834925,0.6404435252375288,45,12,0.82,0.1,0.9926150477827991,0.6617647058823529,0.7242256908054279,0,1,0,0,0
3281285899,Mithat Paşa,,historic:memorial,historic,41.0042194,28.9733768,0.6112148148616255,44,12,0.82,0.1,0.9929692935114282,0.6470588235294118,0.7206554939357813,0,1,0,0,0
4743322,Harem-i Hümayûn,Imperial Harem,historic:building,historic,41.0130721,28.9832643,0.6782921049206379,44,12,0.82,0.1,0.9921563310787437,0.6470588235294118,0.720411605205976,0,1,0,0,0
329063100,Sinan Paşa Türbesi,Tomb of Sinan Pasha,historic:tomb,historic,41.0088174,28.9687309,0.8142254083985294,33,12,0.82,0.35,0.9905088484660591,0.4852941176470588,0.7169761839515824,0,1,0,0,1
663391267,Çemberlitaş Hamamı,Çemberlitaş Hammam,tourism:attraction,attraction,41.0085416,28.9716244,0.5698035421276741,46,12,0.78,0.1,0.9934711892945276,0.6764705882352942,0.7161590038471818,0,0,0,1,0
111002508,Gazi Atik Ali Paşa Camii,,historic:mosque,historic,41.0087421,28.9705447,0.661882552247707,35,12,0.82,0.29,0.9923552113532527,0.5147058823529411,0.715883033994211,0,1,0,0,1
5244807883,Yahya Kemal Museum,,tourism:museum,museum,41.008741,28.967614,0.9070417411465843,30,12,0.85,0.35,0.989383934331971,0.4411764705882353,0.7146092979466501,0,0,1,0,0
586013144,Domabahçe Sarayı Mefruşat Dairesi,,historic:building,historic,41.0385531,28.9970682,3.7207537541639097,27,12,0.82,0.55,0.9552823455384516,0.39705882352941174,0.7143494095438884,0,1,0,0,0
11813287018,Sohum Kalesi Kitâbesi,,historic:memorial,historic,41.0123834,28.9840355,0.6633101649908081,42,12,0.82,0.1,0.9923379089916405,0.6176470588235294,0.7131131374033745,0,1,0,0,0
5478162925,Sarayburnu Atatürk Anıtı,Sarayburnu Atatürk Monument,historic:memorial,historic,41.016263,28.9861325,1.106688802151692,24,12,0.82,0.55,0.9869642545826814,0.35294117647058826,0.7128245704924515,0,1,0,0,0
5244805876,Pera Spa,,tourism:attraction,attraction,41.0105966,28.9731818,0.5125705899992306,45,12,0.78,0.1,0.9941648404535282,0.6617647058823529,0.7126906286066466,0,0,0,1,0
1153684927,Çemberlitaş Sütunu,Column of Constantine,tourism:attraction,attraction,41.008553,28.9712828,0.5984880113228774,45,12,0.78,0.1,0.9931235396527982,0.6617647058823529,0.7123782383664277,0,0,0,1,0
1488385517,Sarayburnu Arkeopark,,historic:yes,historic,41.0170598,28.9847081,1.1183396701874626,22,12,0.82,0.5900000000000001,0.986823048549866,0.3235294117647059,0.7114292675061363,0,1,0,0,0
330344403,İshakpaşa Hamamı,İshakpaşa Hammam,historic:ruins,historic,41.0065719,28.9812065,0.29703908103412635,41,12,0.82,0.1,0.9967770363203301,0.6029411764705882,0.710768405013746,0,1,0,0,0
1900616737,Ancient Hippodrome Substructure,,historic:archaeological_site,historic,41.004072,28.973413,0.621136357130983,41,12,0.82,0.1,0.9928490465376434,0.6029411764705882,0.70959000807894,0,1,0,0,0
9393008312,Nakkaş Sarnıcı,Cistern Nakkas,tourism:attraction,attraction,41.0041016,28.9751527,0.5309728364171327,44,12,0.78,0.1,0.9939418091563247,0.6470588235294118,0.7089472486292503,0,0,0,1,0
103907804,Has Oda Koğuşu,,historic:building,historic,41.0133249,28.9841768,0.7481231384497021,40,12,0.82,0.1,0.9913099938632016,0.5882352941176471,0.7054518216883723,0,1,0,0,0
303807317,Kapalı Çarşı,Grand Bazaar,tourism:attraction,attraction,41.0109671,28.9682528,0.9053194955666574,31,12,0.78,0.4,0.9894048075806534,0.45588235294117646,0.7047920305094901,0,0,0,1,0
263956600,Dolmabahçe Sarayı Hazine-i Hassa Dairesi,,historic:building,historic,41.0378554,28.9973596,3.6610832895970633,24,12,0.82,0.55,0.9560055388277303,0.35294117647058826,0.7035369557659662,0,1,0,0,0
1377852887,Cankurtaran Mescidi,,historic:ruins,historic,41.0049146,28.9807878,0.41665903884653455,39,12,0.82,0.1,0.995327267973767,0.5735294117647058,0.7029805333333065,0,1,0,0,0
110313596,Şehzade Mehmet Kervansarayı,,historic:building,historic,41.0140646,28.9580878,1.824810126515407,22,12,0.82,0.55,0.9782607774698807,0.3235294117647059,0.7028605861821408,0,1,0,0,0
5244807872,Karababa Türbesi,,historic:tomb,historic,41.0083008,28.9692078,0.7713942189825341,29,12,0.82,0.35,0.991027953336154,0.4264705882352941,0.7024260330596697,0,1,0,0,1
32396111,Bâbüssaâde,Gate of Felicity,historic:building,historic,41.0126325,28.9843785,0.7032510600413768,39,12,0.82,0.1,0.991853833872098,0.5735294117647058,0.7019385031028059,0,1,0,0,0
103907818,Arz Odası,Audience Chamber,historic:building,historic,41.0127679,28.9845264,0.7226574531399103,39,12,0.82,0.1,0.9916186325315379,0.5735294117647058,0.7018679427006379,0,1,0,0,0
32396231,III. Ahmed Kütüphanesi,Library of Ahmed III,historic:building,historic,41.0130279,28.9845542,0.7448766833167773,39,12,0.82,0.1,0.9913493402062059,0.5735294117647058,0.7017871550030382,0,1,0,0,0
5108828680,İstanbul Demiryolu Müzesi,İstanbul Railway Museum,tourism:museum,museum,41.0151993,28.9766829,0.7915105421130213,26,12,0.85,0.35,0.9907841477951961,0.38235294117647056,0.7003234796326764,0,0,1,0,0
175517661,Mahmut Paşa Camii,,tourism:attraction,attraction,41.0111863,28.9713768,0.6764168940571553,34,12,0.78,0.29,0.9921790582340004,0.5,0.7001537174702,0,0,0,1,1
1423624915,Dolmabahçe Sarayı Hazine Kapısı,,historic:building,historic,41.0380917,28.9971133,3.6758943585423465,23,12,0.82,0.55,0.9558260318346806,0.3382352941176471,0.6998066330798159,0,1,0,0,0
3386270532,Galatasaray Müzesi,Galatasaray Museum,tourism:museum,museum,41.0334816,28.9769398,2.813857348888717,18,12,0.85,0.5900000000000001,0.9662737363232715,0.2647058823529412,0.6995585914852167,0,0,1,0,0
165718178,Galata Mevlevihanesi Müzesi,Galata Dervish House Museum,tourism:museum,museum,41.0280128,28.9751142,2.22026587714746,27,12,0.85,0.35,0.9734679382128079,0.39705882352941174,0.6988050873461953,0,0,1,0,0
3811143694,Kartonpiyer Müzesi,Stucco Museum,tourism:museum,museum,41.029581,28.9789875,2.3779728768639896,27,12,0.85,0.35,0.9715565630509889,0.39705882352941174,0.6982316747976496,0,0,1,0,0
969327995,Revan Köşkü,Yerevan Kiosk,historic:building,historic,41.0138271,28.984608,0.8141451718376397,38,12,0.82,0.1,0.9905098209160444,0.5588235294117647,0.6978588286277544,0,1,0,0,0
9206305917,Beyazit Kulesi,,historic:monument,historic,41.0113939,28.9646825,1.2045467222591726,22,12,0.82,0.5,0.9857782374863135,0.3235294117647059,0.6976158241870705,0,1,0,0,0
5108828006,Lions Rug and kilims Art Gallery,,tourism:museum,museum,41.0128714,28.9778917,0.5211846899411585,35,12,0.85,0.1,0.9940604394015773,0.5147058823529411,0.6968946024087085,0,0,1,0,0
